Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.404024E+02  -0.113925E+00   0.298176E+01   0.723237E+01   0.712962E+01   0.355654E+02   0.103604E+02   0.225133E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.671923E+01   0.178138E+02  -0.847370E+01   0.105268E+00   0.457507E-02   0.158684E-01   0.121075E-01   0.127824E-01  -0.115763E+02
   0.404024E+02  -0.113925E+00   0.298176E+01   0.723237E+01   0.712962E+01   0.365263E+02   0.103604E+02   0.225133E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.671923E+01   0.203264E+02  -0.393100E+01   0.106450E+00   0.461408E-02   0.176310E-01   0.130586E-01   0.140860E-01  -0.329930E+01
   0.404340E+02  -0.113925E+00   0.298176E+01   0.847156E+01   0.712962E+01   0.362144E+02   0.103604E+02   0.222411E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.879591E+01   0.162136E+02  -0.120069E+02   0.106450E+00   0.555788E-02   0.175224E-01   0.137745E-01   0.146885E-01   0.250139E+01
   0.404340E+02  -0.113925E+00   0.298176E+01   0.847156E+01   0.702779E+01   0.362144E+02   0.103604E+02   0.222411E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.879591E+01   0.173702E+02  -0.120069E+02   0.106450E+00   0.339087E-02   0.175224E-01   0.116571E-01   0.153543E-01   0.285593E+01
   0.404340E+02  -0.113925E+00   0.298176E+01   0.847156E+01   0.702779E+01   0.362144E+02   0.103604E+02   0.222411E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.879591E+01   0.173702E+02  -0.644687E+00   0.106450E+00   0.373146E-02   0.172082E-01   0.118480E-01   0.149832E-01   0.284763E+01
   0.404010E+02  -0.113925E+00   0.298176E+01   0.647027E+01   0.702779E+01   0.362144E+02   0.103604E+02   0.228237E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.879591E+01   0.220699E+02  -0.410769E+01   0.106450E+00   0.278616E-02   0.177165E-01   0.119307E-01   0.148521E-01   0.302316E+01
   0.404010E+02  -0.113925E+00   0.298176E+01   0.647027E+01   0.702779E+01   0.360845E+02   0.103604E+02   0.228237E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.114345E+02   0.248445E+02  -0.559023E+01   0.106426E+00   0.224517E-02   0.162638E-01   0.123013E-01   0.154629E-01   0.596020E+01
   0.404010E+02   0.447956E-01   0.298176E+01   0.647027E+01   0.496025E+01   0.356477E+02   0.103604E+02   0.228237E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.114345E+02   0.259994E+02   0.265503E+00   0.106030E+00   0.215702E-02   0.165656E-01   0.123013E-01   0.139888E-01   0.140539E+01
   0.399760E+02   0.447956E-01   0.298176E+01   0.647027E+01   0.496025E+01   0.356477E+02   0.103604E+02   0.228237E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.114345E+02   0.206457E+02  -0.202452E+01   0.106030E+00   0.845749E-03   0.172871E-01   0.124614E-01   0.151630E-01   0.169159E+01
   0.399760E+02   0.447956E-01   0.298176E+01   0.647027E+01   0.496025E+01   0.371656E+02   0.974841E+01   0.228237E+02  -0.920883E+01  -0.101798E+02  -0.215127E+01   0.114345E+02   0.161031E+02  -0.588314E+01   0.106030E+00   0.845749E-03   0.167245E-01   0.129326E-01   0.148296E-01   0.169036E+01
   0.399760E+02   0.447956E-01   0.298176E+01   0.647027E+01   0.496025E+01   0.371656E+02   0.974841E+01   0.228237E+02  -0.920883E+01  -0.103116E+02  -0.215127E+01   0.114345E+02   0.116821E+02  -0.588314E+01   0.106030E+00   0.133914E-02   0.169453E-01   0.145282E-01   0.152499E-01   0.243957E+01
   0.399760E+02   0.447956E-01   0.298176E+01   0.647027E+01   0.496025E+01   0.371656E+02   0.105758E+02   0.228237E+02  -0.920883E+01  -0.103116E+02  -0.215127E+01   0.114345E+02   0.122055E+02  -0.348189E+01   0.108031E+00   0.289793E-02   0.170433E-01   0.149708E-01   0.159172E-01   0.138028E+02
   0.399760E+02   0.447956E-01   0.298176E+01   0.655818E+01   0.496025E+01   0.371656E+02   0.105758E+02   0.228237E+02  -0.920883E+01  -0.103116E+02  -0.215127E+01   0.114345E+02   0.130780E+02  -0.669863E+01   0.108031E+00   0.221742E-02   0.179594E-01   0.133422E-01   0.161924E-01   0.140135E+02
   0.399760E+02   0.447956E-01   0.260720E+01   0.784873E+01   0.629492E+01   0.371656E+02   0.105758E+02   0.224660E+02  -0.920883E+01  -0.103116E+02  -0.215127E+01   0.114345E+02   0.107285E+02  -0.669863E+01   0.110072E+00   0.174860E-02   0.164858E-01   0.136244E-01   0.179574E-01   0.271798E+02
   0.399760E+02   0.447956E-01   0.260720E+01   0.784873E+01   0.629492E+01   0.371656E+02   0.105758E+02   0.224660E+02  -0.920883E+01  -0.103116E+02  -0.215127E+01   0.114345E+02   0.145584E+02  -0.132779E+00   0.110072E+00   0.925870E-03   0.159064E-01   0.150600E-01   0.177230E-01   0.272056E+02
   0.399760E+02   0.212809E+00   0.380067E+01   0.784873E+01   0.655769E+01   0.371656E+02   0.105758E+02   0.224660E+02  -0.920883E+01  -0.103116E+02  -0.215127E+01   0.114345E+02   0.206265E+02   0.290649E+01   0.110621E+00   0.146868E-02   0.148033E-01   0.141832E-01   0.184247E-01   0.293192E+02
   0.399760E+02   0.212809E+00   0.285160E+01   0.807879E+01   0.655769E+01   0.371656E+02   0.105758E+02   0.225637E+02  -0.920883E+01  -0.103116E+02  -0.215127E+01   0.114345E+02   0.270110E+02   0.674148E+01   0.110621E+00   0.399247E-02   0.147161E-01   0.155777E-01   0.196648E-01   0.289636E+02
   0.399760E+02   0.212809E+00   0.285160E+01   0.807879E+01   0.655769E+01   0.371656E+02   0.105758E+02   0.225637E+02  -0.920883E+01  -0.103116E+02  -0.215127E+01   0.114345E+02   0.271838E+02   0.111468E+02   0.111377E+00   0.382537E-02   0.143335E-01   0.158045E-01   0.204807E-01   0.328026E+02
   0.399760E+02   0.212809E+00   0.285160E+01   0.807879E+01   0.673722E+01   0.371656E+02   0.105758E+02   0.225637E+02  -0.920883E+01  -0.103116E+02  -0.293832E+01   0.114345E+02   0.237885E+02   0.966587E+01   0.112718E+00   0.222334E-02   0.150600E-01   0.141987E-01   0.209257E-01   0.403318E+02
   0.402147E+02   0.212809E+00   0.285160E+01   0.807879E+01   0.673722E+01   0.371656E+02   0.108603E+02   0.225637E+02  -0.920883E+01  -0.103116E+02  -0.293832E+01   0.978719E+01   0.286221E+02   0.166475E+02   0.112718E+00   0.110864E-02   0.147534E-01   0.142585E-01   0.216565E-01   0.406554E+02
   0.402147E+02   0.212809E+00   0.285160E+01   0.807879E+01   0.673722E+01   0.371656E+02   0.108603E+02   0.225637E+02  -0.920883E+01  -0.103116E+02  -0.293832E+01   0.978719E+01   0.287266E+02   0.174585E+02   0.112926E+00   0.542990E-03   0.154625E-01   0.142278E-01   0.227840E-01   0.415279E+02
   0.402147E+02   0.212809E+00   0.254636E+01   0.807879E+01   0.673722E+01   0.367206E+02   0.100666E+02   0.225637E+02  -0.920883E+01  -0.103116E+02  -0.293832E+01   0.109513E+02   0.287353E+02   0.174585E+02   0.114360E+00   0.542990E-03   0.171956E-01   0.152493E-01   0.224115E-01   0.492049E+02
   0.402147E+02   0.212809E+00   0.254636E+01   0.807879E+01   0.673722E+01   0.367206E+02   0.115989E+02   0.225637E+02  -0.920883E+01  -0.103116E+02  -0.285970E+01   0.109513E+02   0.316323E+02   0.134175E+02   0.114692E+00   0.125636E-02   0.176153E-01   0.136635E-01   0.199135E-01   0.500071E+02
   0.402147E+02   0.212809E+00   0.254636E+01   0.807879E+01   0.808875E+01   0.367206E+02   0.953856E+01   0.225637E+02  -0.920883E+01  -0.103116E+02  -0.364316E+01   0.109513E+02   0.353417E+02   0.641861E+01   0.114692E+00   0.149218E-02   0.188172E-01   0.135559E-01   0.193286E-01   0.494663E+02
   0.402147E+02   0.212809E+00   0.254636E+01   0.807879E+01   0.808875E+01   0.367206E+02   0.101903E+02   0.225637E+02  -0.920883E+01  -0.103116E+02  -0.364316E+01   0.109513E+02   0.394983E+02   0.286804E+01   0.115327E+00   0.149218E-02   0.178725E-01   0.134653E-01   0.217439E-01   0.521343E+02
   0.402147E+02   0.212809E+00   0.254636E+01   0.807879E+01   0.861538E+01   0.367206E+02   0.101903E+02   0.223671E+02  -0.920883E+01  -0.103116E+02  -0.364316E+01   0.109513E+02   0.368615E+02   0.637920E+01   0.115901E+00   0.306446E-02   0.174701E-01   0.137098E-01   0.215598E-01   0.533580E+02
   0.402147E+02   0.212809E+00   0.254636E+01   0.807879E+01   0.725948E+01   0.367206E+02   0.101903E+02   0.223671E+02  -0.920883E+01  -0.103116E+02  -0.175321E+01   0.109513E+02   0.337608E+02  -0.371264E+01   0.116727E+00   0.280638E-02   0.169184E-01   0.145105E-01   0.227792E-01   0.575379E+02
