"Typology" "SU" "param_name" "prior.dist" "par_1" "par_2" "covariate" "scaled" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"Seine" "SU1" "Km_SU1_a0" "Gaussian" 30 4.93891254658929 0 -1 1 -2.07705506803175e-17 0.427464510767183 -3.17226691715595e-16 0.193785155403064 3.62450232051063e-16 -0.566176193079199 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a1" "Gaussian" -5.32907051820075e-15 7.57580735914379 22997.1666666667 -0.666666666666667 -2.37377722060771e-17 1 -3.41601744752485e-16 0.0295159033419837 1.72173960029945e-16 -0.50408001393022 2.32358726266808e-16 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a2" "Gaussian" 5.32907051820075e-15 13.8997259308369 45994.3333333333 -0.333333333333333 0.427464510767183 -4.09078632604827e-16 1 -1.65108644410145e-16 0.212557345277713 4.50078181010649e-16 -0.797604651720248 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a3" "Gaussian" -7.99360577730113e-15 10.0623058987491 68991.5 0 -3.35098618009432e-16 0.0295159033419837 -6.35033247731328e-17 1 -3.53530953650932e-16 -0.683130051063973 3.56091930274516e-16 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a4" "Gaussian" 1.77635683940025e-15 11.2353801107825 91988.6666666667 0.333333333333333 0.193785155403064 1.30434818204504e-16 0.212557345277714 -3.84955927308792e-16 1 2.6498752576667e-16 -0.632455532033676 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a5" "Gaussian" 5.77315972805081e-15 11.7837660727436 114985.833333333 0.666666666666667 3.92972356855363e-16 -0.50408001393022 3.63316122020644e-16 -0.683130051063973 2.11319166117724e-16 1 -4.87044554069972e-16 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a6" "Gaussian" -1.33226762955019e-14 21.3176349166965 137983 1 -0.566176193079199 2.32358726266808e-16 -0.797604651720248 3.56091930274516e-16 -0.632455532033676 -4.87044554069972e-16 1 0 0 0 0 0 0 0 0
"Seine" "SU1" "Kf_SU1_a0" "FIX" 20 NA 137983 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"event_1" "node_1" "Q_e1_Poses" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"event_1" "node_2" "Q_e1_Eure" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Y_1" NA "intercept" "Uniform" -10 10 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Y_2" NA "intercept" "Uniform" -1000 1000 NA NA 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Y_3" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Y_4" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Y_5" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
