"P0" "P1"
1 -1
1 -0.989949748743719
1 -0.979899497487437
1 -0.969849246231156
1 -0.959798994974874
1 -0.949748743718593
1 -0.939698492462312
1 -0.92964824120603
1 -0.919597989949749
1 -0.909547738693467
1 -0.899497487437186
1 -0.889447236180904
1 -0.879396984924623
1 -0.869346733668342
1 -0.85929648241206
1 -0.849246231155779
1 -0.839195979899497
1 -0.829145728643216
1 -0.819095477386935
1 -0.809045226130653
1 -0.798994974874372
1 -0.78894472361809
1 -0.778894472361809
1 -0.768844221105528
1 -0.758793969849246
1 -0.748743718592965
1 -0.738693467336683
1 -0.728643216080402
1 -0.718592964824121
1 -0.708542713567839
1 -0.698492462311558
1 -0.688442211055276
1 -0.678391959798995
1 -0.668341708542714
1 -0.658291457286432
1 -0.648241206030151
1 -0.638190954773869
1 -0.628140703517588
1 -0.618090452261307
1 -0.608040201005025
1 -0.597989949748744
1 -0.587939698492462
1 -0.577889447236181
1 -0.5678391959799
1 -0.557788944723618
1 -0.547738693467337
1 -0.537688442211055
1 -0.527638190954774
1 -0.517587939698492
1 -0.507537688442211
1 -0.49748743718593
1 -0.487437185929648
1 -0.477386934673367
1 -0.467336683417085
1 -0.457286432160804
1 -0.447236180904523
1 -0.437185929648241
1 -0.42713567839196
1 -0.417085427135678
1 -0.407035175879397
1 -0.396984924623116
1 -0.386934673366834
1 -0.376884422110553
1 -0.366834170854271
1 -0.35678391959799
1 -0.346733668341709
1 -0.336683417085427
1 -0.326633165829146
1 -0.316582914572864
1 -0.306532663316583
1 -0.296482412060302
1 -0.28643216080402
1 -0.276381909547739
1 -0.266331658291457
1 -0.256281407035176
1 -0.246231155778894
1 -0.236180904522613
1 -0.226130653266332
1 -0.21608040201005
1 -0.206030150753769
1 -0.195979899497487
1 -0.185929648241206
1 -0.175879396984925
1 -0.165829145728643
1 -0.155778894472362
1 -0.14572864321608
1 -0.135678391959799
1 -0.125628140703518
1 -0.115577889447236
1 -0.105527638190955
1 -0.0954773869346734
1 -0.085427135678392
1 -0.0753768844221107
1 -0.0653266331658292
1 -0.0552763819095479
1 -0.0452261306532664
1 -0.035175879396985
1 -0.0251256281407036
1 -0.0150753768844222
1 -0.00502512562814084
1 0.00502512562814061
1 0.0150753768844221
1 0.0251256281407033
1 0.0351758793969847
1 0.0452261306532662
1 0.0552763819095476
1 0.0653266331658291
1 0.0753768844221105
1 0.085427135678392
1 0.0954773869346734
1 0.105527638190955
1 0.115577889447236
1 0.125628140703518
1 0.135678391959799
1 0.14572864321608
1 0.155778894472362
1 0.165829145728643
1 0.175879396984925
1 0.185929648241206
1 0.195979899497488
1 0.206030150753769
1 0.21608040201005
1 0.226130653266332
1 0.236180904522613
1 0.246231155778895
1 0.256281407035176
1 0.266331658291457
1 0.276381909547739
1 0.28643216080402
1 0.296482412060301
1 0.306532663316583
1 0.316582914572864
1 0.326633165829146
1 0.336683417085427
1 0.346733668341708
1 0.35678391959799
1 0.366834170854271
1 0.376884422110553
1 0.386934673366834
1 0.396984924623115
1 0.407035175879397
1 0.417085427135678
1 0.42713567839196
1 0.437185929648241
1 0.447236180904522
1 0.457286432160804
1 0.467336683417085
1 0.477386934673367
1 0.487437185929648
1 0.497487437185929
1 0.507537688442211
1 0.517587939698493
1 0.527638190954774
1 0.537688442211055
1 0.547738693467337
1 0.557788944723618
1 0.5678391959799
1 0.577889447236181
1 0.587939698492462
1 0.597989949748744
1 0.608040201005025
1 0.618090452261306
1 0.628140703517588
1 0.638190954773869
1 0.648241206030151
1 0.658291457286432
1 0.668341708542713
1 0.678391959798995
1 0.688442211055276
1 0.698492462311558
1 0.708542713567839
1 0.71859296482412
1 0.728643216080402
1 0.738693467336683
1 0.748743718592965
1 0.758793969849246
1 0.768844221105528
1 0.778894472361809
1 0.78894472361809
1 0.798994974874372
1 0.809045226130653
1 0.819095477386935
1 0.829145728643216
1 0.839195979899497
1 0.849246231155779
1 0.85929648241206
1 0.869346733668342
1 0.879396984924623
1 0.889447236180904
1 0.899497487437186
1 0.909547738693467
1 0.919597989949749
1 0.92964824120603
1 0.939698492462312
1 0.949748743718593
1 0.959798994974874
1 0.969849246231156
1 0.979899497487437
1 0.989949748743718
1 1
