               a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.991896E+02  -0.587459E+01   0.112270E-05   0.162022E-04   0.837414E-05   0.599489E-03
Maximum           0.103149E+03   0.771124E+01   0.150358E-02   0.116912E-02   0.911842E-03   0.342931E-02
Range             0.395940E+01   0.135858E+02   0.150246E-02   0.115292E-02   0.903468E-03   0.282982E-02
Mean              0.100875E+03   0.147031E+01   0.291861E-03   0.248755E-03   0.221281E-03   0.144576E-02
Median            0.100874E+03   0.156723E+01   0.238660E-03   0.224337E-03   0.202667E-03   0.137699E-02
Q10%              0.996624E+02  -0.730325E+00   0.547165E-04   0.320925E-04   0.433026E-04   0.892129E-03
Q25%              0.100372E+03   0.272156E+00   0.107672E-03   0.966535E-04   0.111356E-03   0.113173E-02
Q75%              0.101379E+03   0.266565E+01   0.390767E-03   0.335918E-03   0.300199E-03   0.158451E-02
Q90%              0.101905E+03   0.403050E+01   0.543008E-03   0.555230E-03   0.449746E-03   0.217554E-02
St.Dev.           0.786131E+00   0.198583E+01   0.232652E-03   0.199970E-03   0.143105E-03   0.496101E-03
Variance          0.618002E+00   0.394353E+01   0.541268E-07   0.399880E-07   0.204790E-07   0.246116E-06
CV                0.779311E-02   0.135063E+01   0.797131E+00   0.803885E+00   0.646711E+00   0.343142E+00
Skewness          0.389366E-01   0.108619E-01   0.178984E+01   0.166378E+01   0.122976E+01   0.120518E+01
Kurtosis         -0.226209E+00   0.802482E+00   0.604913E+01   0.463054E+01   0.308019E+01   0.166761E+01
MaxPost           0.100597E+03   0.142055E+01   0.547165E-04   0.320925E-04   0.837414E-05   0.137699E-02
