event	reach	x	t	WSE	Q	V	Kmin	Kflood	Yu_WSE	Yu_Q	Yu_V	Yu_Kmin	Yu_Kflood
1	1	3.56139744840509e-05	43200	237.876	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	11.9855344333867	43200	237.858	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	11.9855344333867	43200	237.838	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	14.4058923945561	43200	237.829	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	19.8430563845368	43200	237.816	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	24.9191267505129	43200	237.81	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	31.9368783587517	43200	237.795	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	37.9736548607438	43200	237.788	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	44.531076096345	43200	237.78	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	50.6607073905754	43200	237.75	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	55.9866013405247	43200	237.697	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	66.01717841468	43200	237.652	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	71.0618822791882	43200	237.654	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	74.2142161598887	43200	237.606	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	82.7126801548371	43200	237.551	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	89.9986045443781	43200	237.49	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	94.3654196938038	43200	237.469	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	100.275171947435	43200	237.459	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	106.892351037172	43200	237.426	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	113.13725259611	43200	237.397	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	117.892271911626	43200	237.395	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	123.836133919278	43200	237.36	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	130.489894122811	43200	237.354	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	141.822025122385	43200	237.311	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	148.093042489728	43200	237.272	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	152.988796044965	43200	237.254	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	156.508675242789	43200	237.246	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	171.967679946078	43200	237.22	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	177.492413617241	43200	237.206	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	183.06978875553	43200	237.159	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	190.293313475242	43200	237.168	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	192.772462090275	43200	237.126	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	198.30358943229	43200	237.105	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	207.164466649303	43200	237.079	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	210.440223420854	43200	237.033	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	222.373307874989	43200	236.958	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	229.058225555486	43200	236.974	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	235.224913670617	43200	236.969	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	241.844607680624	43200	236.983	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	248.956757509923	43200	236.971	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	254.37514106864	43200	236.938	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	259.537119047742	43200	236.882	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	269.946378391592	43200	236.883	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	280.778003713738	43200	236.875	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	285.061898501285	43200	236.87	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	289.703886417144	43200	236.869	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	296.2734888335	43200	236.861	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	303.658751335725	43200	236.865	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	310.05615377167	43200	236.853	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	316.53212423696	43200	236.859	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	324.276579517663	43200	236.836	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	328.147445901496	43200	236.834	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	334.669230621653	43200	236.815	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	336.059546957233	43200	236.836	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	343.575921589982	43200	236.822	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	349.712902945217	43200	236.826	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	358.995235540845	43200	236.815	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	365.374422600443	43200	236.832	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	370.818912137988	43200	236.819	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	377.604871723112	43200	236.814	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	385.76610929243	43200	236.826	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	392.253737399494	43200	236.816	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	401.553533543983	43200	236.814	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	404.422995234303	43200	236.795	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	409.977506864155	43200	236.821	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	415.929950157498	43200	236.798	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	418.990842722966	43200	236.792	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	425.012340762286	43200	236.793	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	430.597335965455	43200	236.795	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	435.800354857302	43200	236.787	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	446.512287966281	43200	236.816	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	447.925578021576	43200	236.778	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	451.560347154748	43200	236.804	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	454.583670981485	43200	236.815	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	462.210144052172	43200	236.806	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	466.431352237332	43200	236.798	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	476.247389807331	43200	236.801	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	476.328163324916	43200	236.791	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	476.328163324916	43200	236.801	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	490.482143466478	43200	236.779	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	496.577578142246	43200	236.804	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	502.968410806604	43200	236.802	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	506.32468896617	43200	236.808	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	516.895306164543	43200	236.822	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	523.062894580159	43200	236.791	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	530.079540120536	43200	236.816	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	535.965648098586	43200	236.801	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	546.779816189954	43200	236.8	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	548.607670599941	43200	236.804	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	560.217696311325	43200	236.822	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	564.533616352325	43200	236.789	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	567.622753770497	43200	236.78	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	577.138873074151	43200	236.796	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	579.335414110117	43200	236.787	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	583.101085518332	43200	236.769	-9999	-9999	35	25	0.05	-9999	-9999	8	8
1	1	589.672894521414	43200	236.776	-9999	-9999	35	25	0.05	-9999	-9999	8	8
