Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Kmin_a7       Kmin_a8       Kmin_a9       Kmin_a10      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.207121E+01 -0.625968E+01  0.452770E+01  0.757128E+01  0.697227E+01 -0.826867E+00 -0.736642E+01 -0.428828E+01 -0.411062E+01  0.246011E+01  0.353315E-02  0.137759E-01  0.715052E-02  0.556343E-02  0.115074E-01 -0.829472E+03
  0.300000E+02  0.207121E+01 -0.367948E+01  0.452770E+01  0.796029E+01  0.697227E+01 -0.478530E+00 -0.749297E+01 -0.428828E+01 -0.411062E+01  0.359954E+01  0.506868E-02  0.130767E-01  0.594440E-02  0.590485E-02  0.103245E-01 -0.829183E+03
  0.306900E+02  0.207121E+01 -0.367948E+01  0.452770E+01  0.796029E+01  0.665573E+01  0.392800E+01 -0.676022E+01 -0.594510E+01 -0.411062E+01  0.359954E+01  0.506868E-02  0.143212E-01  0.645014E-02  0.629529E-02  0.116594E-01 -0.827173E+03
  0.306900E+02  0.207121E+01 -0.482097E+01  0.443885E+01  0.796029E+01  0.665573E+01  0.392800E+01 -0.796262E+01 -0.594510E+01 -0.736665E+01  0.359954E+01  0.515097E-02  0.151287E-01  0.761533E-02  0.561897E-02  0.103937E-01 -0.822090E+03
  0.306900E+02  0.207121E+01 -0.482097E+01  0.348671E+01  0.796029E+01  0.762532E+01  0.392800E+01 -0.796262E+01 -0.453288E+01 -0.736665E+01  0.359954E+01  0.506071E-02  0.152527E-01  0.783811E-02  0.574596E-02  0.116943E-01 -0.823460E+03
  0.305530E+02  0.207121E+01 -0.482097E+01  0.344391E+01  0.796029E+01  0.769810E+01  0.392800E+01 -0.697260E+01 -0.495480E+01 -0.736665E+01  0.359954E+01  0.621647E-02  0.145686E-01  0.814080E-02  0.495566E-02  0.126533E-01 -0.824080E+03
  0.305530E+02  0.207121E+01 -0.482097E+01  0.585288E+01  0.796029E+01  0.711777E+01  0.392800E+01 -0.697260E+01 -0.495480E+01 -0.710637E+01  0.359954E+01  0.510212E-02  0.151359E-01  0.828692E-02  0.422557E-02  0.125717E-01 -0.822735E+03
  0.306239E+02  0.207121E+01 -0.428829E+01  0.585288E+01  0.796029E+01  0.660270E+01  0.392800E+01 -0.521300E+01 -0.495480E+01 -0.710637E+01  0.359954E+01  0.466101E-02  0.142878E-01  0.751188E-02  0.426321E-02  0.126510E-01 -0.823602E+03
  0.306239E+02  0.207121E+01 -0.623154E+01  0.585288E+01  0.871424E+01  0.660270E+01  0.316540E+01 -0.939652E+01 -0.495480E+01 -0.710637E+01  0.359954E+01  0.467420E-02  0.135377E-01  0.834535E-02  0.362353E-02  0.134776E-01 -0.825231E+03
  0.306239E+02  0.207121E+01 -0.623154E+01  0.585288E+01  0.871424E+01  0.550573E+01  0.316540E+01 -0.530703E+01 -0.495480E+01 -0.710637E+01  0.359954E+01  0.468368E-02  0.126048E-01  0.776585E-02  0.303072E-02  0.145187E-01 -0.824017E+03
  0.306239E+02  0.207121E+01 -0.623154E+01  0.513520E+01  0.871424E+01  0.502379E+01  0.269828E+01 -0.903399E+01 -0.549637E+01 -0.710637E+01  0.359954E+01  0.468368E-02  0.140785E-01  0.721914E-02  0.758239E-03  0.148099E-01 -0.823563E+03
  0.306239E+02  0.207121E+01 -0.623154E+01  0.513520E+01  0.871424E+01  0.502379E+01  0.269828E+01 -0.903399E+01 -0.530134E+01 -0.710637E+01  0.359954E+01  0.598724E-02  0.140873E-01  0.689748E-02  0.299304E-02  0.150577E-01 -0.823815E+03
  0.306239E+02  0.159855E+01 -0.623154E+01  0.422782E+01  0.871424E+01  0.500732E+01  0.477496E+01 -0.903399E+01 -0.530134E+01 -0.710637E+01  0.359954E+01  0.587862E-02  0.148032E-01  0.749996E-02  0.382013E-02  0.145628E-01 -0.824147E+03
  0.306239E+02  0.159855E+01 -0.633337E+01  0.422782E+01  0.871424E+01  0.500732E+01  0.477496E+01 -0.903399E+01 -0.530134E+01 -0.778453E+01  0.359954E+01  0.371161E-02  0.148032E-01  0.538253E-02  0.448596E-02  0.145628E-01 -0.823336E+03
  0.306239E+02  0.159855E+01 -0.633337E+01  0.422782E+01  0.871424E+01  0.500732E+01  0.477496E+01 -0.903399E+01 -0.530134E+01 -0.778453E+01  0.359954E+01  0.303103E-02  0.151128E-01  0.509688E-02  0.465953E-02  0.142254E-01 -0.823265E+03
  0.305964E+02  0.159855E+01 -0.230804E+01  0.422782E+01  0.871424E+01  0.670733E+01  0.477496E+01 -0.709190E+01 -0.530134E+01 -0.778453E+01  0.479290E+01  0.352570E-02  0.151843E-01  0.423718E-02  0.432556E-02  0.146496E-01 -0.825357E+03
  0.305964E+02  0.159855E+01 -0.375624E+01  0.422782E+01  0.871424E+01  0.670733E+01  0.477496E+01 -0.709190E+01 -0.213916E+01 -0.890799E+01  0.479290E+01  0.394301E-02  0.138256E-01  0.471158E-02  0.371470E-02  0.140724E-01 -0.822280E+03
