"X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12"
1 -1 1 -1 1 -1 1 -1 1 -1 1
1 -0.979591836734694 0.939400249895876 -0.880653469217758 0.805141474094248 -0.715155252416469 0.613409224907498 -0.502949598052003 0.387051904219823 -0.269111363734671 0.152529946867507
1 -0.959183673469388 0.880049979175344 -0.767426837457182 0.628143278493048 -0.470567129228373 0.304041165239022 -0.138257772501167 -0.0173836481215853 0.154391341654431 -0.265725059746506
1 -0.938775510204082 0.821949187838401 -0.660192606821987 0.468140248900179 -0.262907396357407 0.0623700053615779 0.116610820183248 -0.259832596340465 0.357092174209547 -0.403086500557141
1 -0.918367346938776 0.765097875885048 -0.55882327941589 0.324285435004609 -0.0890050547402125 -0.12038241319634 0.281606990709858 -0.379575385211249 0.408129771719594 -0.370526959065495
1 -0.897959183673469 0.709496043315285 -0.463191357342604 0.195750100480485 0.0541570050974628 -0.252281513894186 0.37429407127936 -0.409442672904775 0.361768352361139 -0.248722701679401
1 -0.877551020408163 0.655143690129113 -0.373169342705845 0.0817237229871418 0.169445348466619 -0.340714156314832 0.410035804462989 -0.37655137311898 0.259693919275472 -0.0941036255154899
1 -0.857142857142857 0.602040816326531 -0.28862973760933 -0.0185860058309035 0.259579341940858 -0.392422056286071 0.402175265893827 -0.302983806650481 0.133056085528489 0.0559940866961803
1 -0.836734693877551 0.550187421907539 -0.209445044156772 -0.105953180343953 0.327134498782228 -0.413534454988151 0.362205020019561 -0.206412676660955 0.00427498363949555 0.178975057453702
1 -0.816326530612245 0.499583506872137 -0.135487764451887 -0.181133680937122 0.374545824367076 -0.409600037047342 0.299928708165299 -0.100674520897809 -0.111368207234211 0.263341431048845
1 -0.795918367346939 0.450229071220325 -0.06663040059839 -0.244865174010343 0.404111161611898 -0.385618097615544 0.223614268155052 0.0037057668658827 -0.204339493308074 0.305676166027406
1 -0.775510204081633 0.402124114952103 -0.00274545469999736 -0.297867111978367 0.417994536399187 -0.34606895843592 0.140138984740476 0.0990368149016558 -0.269642323003937 0.308176575177985
1 -0.755102040816326 0.355268638067472 0.0562945711395762 -0.340840733270758 0.418229503003288 -0.294943632894566 0.0551265700854798 0.180026580830089 -0.30577400184951 0.276668165620687
1 -0.73469387755102 0.30966264056643 0.110617174816616 -0.3744690623319 0.406722489516241 -0.235772740058217 -0.0269235264446918 0.243389678877811 -0.313833245140366 0.219034880185501
1 -0.714285714285714 0.26530612244898 0.160349854227405 -0.399416909620991 0.385256143273636 -0.171654667697983 -0.102514379941302 0.287493878799979 -0.296764673353735 0.144007565774373
1 -0.693877551020408 0.222199083715119 0.20562010726823 -0.416330871612047 0.355492676280462 -0.105282984299121 -0.169037223808293 0.312043489175582 -0.258726859434547 0.0602579029965015
1 -0.673469387755102 0.180341524364848 0.246555431835375 -0.425839330793899 0.318977210636957 -0.0389731000568375 -0.22466425656817 0.317797398777396 -0.204571320043983 -0.0242498677413349
1 -0.653061224489796 0.139733444398168 0.283283325825124 -0.428552455670196 0.277141123964458 0.0253118231418668 -0.268248422369 0.306319610712908 -0.139420604669328 -0.102692287113145
1 -0.63265306122449 0.100374843815077 0.315931287133762 -0.425062200759402 0.231305394831248 0.0859357127503331 -0.299229965943939 0.279760165026958 -0.0683343771410036 -0.169643438042525
1 -0.612244897959184 0.0622657226155768 0.344626813657575 -0.415942306594798 0.182683948178412 0.141565177608332 -0.317549562774643 0.240664406451356 0.00394689641149348 -0.22118925346857
1 -0.591836734693878 0.0254060807996668 0.369497403292846 -0.401748299724483 0.132387000745683 0.191145851002128 -0.323567825210008 0.191808614981183 0.0731903408086165 -0.254929544882142
1 -0.571428571428571 -0.0102040816326531 0.39067055393586 -0.38301749271137 0.0814244064972927 0.233879484738502 -0.3179909852916 0.136060077951954 0.135800156755504 -0.269894240348448
1 -0.551020408163265 -0.0445647646813829 0.408273763482903 -0.36026898413319 0.0307090020478218 0.26920179423275 -0.301802555037186 0.0762597432862937 0.188896551941425 -0.266396893745319
1 -0.530612244897959 -0.0776759683465222 0.422434529830258 -0.334003658582491 -0.0189400479119499 0.296761054610639 -0.276200764933769 0.015125654573267 0.230351837942525 -0.245845350225343
1 -0.510204081632653 -0.109537692628072 0.433280350874211 -0.304704186666634 -0.0667939051891941 0.316397447824333 -0.242541581391502 -0.044824570362074 0.258790798887415 -0.210526518248668
1 -0.489795918367347 -0.140149937526031 0.440938724511046 -0.272835025007802 -0.112210712663183 0.328123160782285 -0.202287103909904 -0.101333894746832 0.273561845327415 -0.163379497726425
1 -0.469387755102041 -0.1695127030404 0.445537148637047 -0.238842416242989 -0.154632248859439 0.332103234493097 -0.156959142707757 -0.152450268359581 0.27468489539691 -0.107768838656886
1 -0.448979591836735 -0.197625989171179 0.447203121148501 -0.20315438902401 -0.193580582523887 0.328637164223344 -0.108097777568086 -0.196556838599843 0.262781375154265 -0.047267446922351
