Kmin_a0        Kmin_a1        Kmin_a2        Kmin_a3        Kmin_a4        Kmin_a5        Kmin_a6        Kmin_a7        Kmin_a8        Kmin_a9        Kmin_a10       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.300045E+02   0.476758E+00  -0.380949E+01   0.462470E+01   0.752608E+01   0.266981E+01   0.112829E+01  -0.533691E+01  -0.151927E+01  -0.128545E+02   0.560254E+01   0.747984E-02   0.668428E-03   0.239480E-01   0.875982E-02   0.209323E-02  -0.823275E+03
   0.313678E+02   0.668449E+00  -0.491550E+01   0.628428E+01   0.932114E+01   0.550740E+01   0.402005E+01  -0.650098E+01  -0.384991E+01  -0.985353E+01   0.440631E+01   0.589640E-03   0.106070E-01   0.256894E-01   0.279086E-01   0.163323E-01  -0.824979E+03
   0.309931E+02   0.184471E+01  -0.491550E+01   0.633361E+01   0.987952E+01   0.612404E+01   0.391183E+01  -0.572031E+01  -0.444115E+01  -0.126708E+02   0.346854E+01   0.518112E-02   0.756853E-03   0.210001E-01   0.249466E-02   0.504066E-02  -0.819843E+03
   0.302746E+02   0.184471E+01  -0.535262E+01   0.430239E+01   0.961875E+01   0.612404E+01   0.102343E+01  -0.836775E+01  -0.342176E+01  -0.126351E+02   0.265276E+01   0.845127E-02   0.741888E-02   0.181903E-01   0.317935E-02   0.135997E-01  -0.823889E+03
   0.309125E+02   0.208038E+01  -0.501529E+01   0.630883E+01   0.107657E+02   0.325985E+01   0.447799E+01  -0.755521E+01  -0.181217E+01  -0.125801E+02   0.427795E+01   0.364193E-02   0.471526E-03   0.359512E-01   0.111944E-02   0.409539E-02  -0.824460E+03
   0.306351E+02   0.208038E+01  -0.409905E+01   0.343595E+01   0.894233E+01   0.737121E+01   0.614851E-01  -0.924364E+01  -0.451235E+01  -0.849079E+01   0.518938E+01   0.320498E-02   0.103901E-01   0.303980E-01   0.244347E-01   0.196335E-02  -0.826910E+03
   0.307822E+02   0.248673E+01  -0.549534E+01   0.346618E+01   0.894233E+01   0.356701E+01   0.218713E+01  -0.782033E+01  -0.224579E+01  -0.849079E+01   0.120903E+02   0.691694E-02   0.723579E-02   0.470759E-02   0.197791E-01   0.196335E-02  -0.826986E+03
   0.309008E+02   0.266601E+01  -0.476569E+01   0.439536E+01   0.988458E+01   0.475730E+01   0.102068E+01  -0.869962E+01  -0.433413E+01  -0.114441E+02   0.603344E+01   0.594150E-02   0.564065E-02   0.153482E-01   0.581812E-02   0.310991E-02  -0.820438E+03
   0.309008E+02   0.272513E+01  -0.329639E+01   0.515573E+01   0.846484E+01   0.475730E+01   0.286419E+01  -0.487979E+01  -0.349355E+01  -0.110742E+02   0.681110E+01   0.185083E-01   0.208129E-01   0.681993E-01   0.142837E-01   0.124550E-02  -0.833985E+03
   0.310748E+02   0.120127E+01  -0.608361E+01   0.459239E+01   0.814346E+01   0.700969E+01   0.225576E+01  -0.998008E+01  -0.295646E+01  -0.974362E+01   0.365869E+01   0.382127E-03   0.173829E-01   0.551884E-01   0.824159E-02   0.124550E-02  -0.824486E+03
