a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100837E+03   0.458613E-01   0.446301E+00   0.284278E+01   0.536108E-04   0.334526E-03   0.336697E-05   0.150378E+03   0.000000E+00   0.000000E+00   0.150378E+03  -0.300756E+03
   0.100837E+03   0.327010E+01   0.101680E+01   0.899483E+01   0.536108E-04   0.334526E-03   0.336697E-05   0.150232E+03   0.000000E+00   0.000000E+00   0.150232E+03  -0.300464E+03
   0.100837E+03   0.327010E+01   0.240146E+00  -0.542919E+01   0.536108E-04   0.334526E-03   0.336697E-05   0.149053E+03   0.000000E+00   0.000000E+00   0.149053E+03  -0.298106E+03
   0.999181E+02   0.327010E+01  -0.339940E+01   0.700727E+01   0.536108E-04   0.334526E-03   0.336697E-05   0.148651E+03   0.000000E+00   0.000000E+00   0.148651E+03  -0.297302E+03
   0.999181E+02   0.513693E+01  -0.339940E+01   0.700727E+01   0.536108E-04   0.334526E-03   0.336697E-05   0.147741E+03   0.000000E+00   0.000000E+00   0.147741E+03  -0.295482E+03
   0.999181E+02   0.777078E+00  -0.101046E+02  -0.799121E+01   0.536108E-04   0.334526E-03   0.336697E-05   0.147358E+03   0.000000E+00   0.000000E+00   0.147358E+03  -0.294716E+03
   0.999181E+02   0.777078E+00  -0.195886E+01  -0.546984E+01   0.536108E-04   0.334526E-03   0.336697E-05   0.148803E+03   0.000000E+00   0.000000E+00   0.148803E+03  -0.297606E+03
   0.999181E+02   0.177259E+00  -0.663289E+01  -0.296701E+00   0.536108E-04   0.334526E-03   0.336697E-05   0.148808E+03   0.000000E+00   0.000000E+00   0.148808E+03  -0.297616E+03
   0.999181E+02   0.177259E+00  -0.663289E+01  -0.402451E+01   0.230855E-03   0.334526E-03   0.336697E-05   0.148704E+03   0.000000E+00   0.000000E+00   0.148704E+03  -0.297408E+03
   0.100924E+03   0.177259E+00  -0.663289E+01   0.570006E+01   0.230855E-03   0.334526E-03   0.336697E-05   0.148135E+03   0.000000E+00   0.000000E+00   0.148135E+03  -0.296270E+03
   0.100924E+03   0.177259E+00  -0.663289E+01   0.408512E+01   0.230855E-03   0.334526E-03   0.336697E-05   0.148540E+03   0.000000E+00   0.000000E+00   0.148540E+03  -0.297080E+03
   0.100924E+03   0.177259E+00  -0.542821E+01  -0.776073E+01   0.230855E-03   0.334526E-03   0.336697E-05   0.149892E+03   0.000000E+00   0.000000E+00   0.149892E+03  -0.299784E+03
   0.100924E+03  -0.180427E+01  -0.542821E+01  -0.776073E+01   0.230855E-03   0.149246E-03   0.336697E-05   0.150258E+03   0.000000E+00   0.000000E+00   0.150258E+03  -0.300516E+03
