a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100639E+03   0.112683E+01   0.376349E-03   0.473539E-03   0.701194E-03   0.784121E-03   0.636851E-03   0.238142E-02   0.320151E-03   0.503363E-03   0.759289E-03   0.208703E+03   0.000000E+00   0.000000E+00   0.208703E+03  -0.417406E+03
   0.100639E+03   0.112683E+01   0.376349E-03   0.353129E-03   0.701194E-03   0.261125E-02   0.636851E-03   0.238142E-02   0.320151E-03   0.503363E-03   0.759289E-03   0.205957E+03   0.000000E+00   0.000000E+00   0.205957E+03  -0.411914E+03
   0.100639E+03   0.237145E+01   0.376349E-03   0.353129E-03   0.701194E-03   0.261125E-02   0.636851E-03   0.238142E-02   0.320151E-03   0.403379E-03   0.759289E-03   0.206145E+03   0.000000E+00   0.000000E+00   0.206145E+03  -0.412290E+03
   0.100639E+03   0.237145E+01   0.376349E-03   0.353129E-03   0.701194E-03   0.144349E-02   0.636851E-03   0.315777E-02   0.246150E-03   0.403379E-03   0.759289E-03   0.206933E+03   0.000000E+00   0.000000E+00   0.206933E+03  -0.413866E+03
   0.100639E+03   0.262569E+00   0.376349E-03   0.353129E-03   0.701194E-03   0.752976E-03   0.636851E-03   0.172511E-02   0.246150E-03   0.403379E-03   0.759289E-03   0.209694E+03   0.000000E+00   0.000000E+00   0.209694E+03  -0.419388E+03
   0.100639E+03   0.508703E+00   0.376349E-03   0.134928E-03   0.701194E-03   0.752976E-03   0.636851E-03   0.172511E-02   0.246150E-03   0.403379E-03   0.759289E-03   0.209626E+03   0.000000E+00   0.000000E+00   0.209626E+03  -0.419252E+03
   0.100639E+03   0.508703E+00   0.376349E-03   0.134928E-03   0.701194E-03   0.752976E-03   0.636851E-03   0.172511E-02   0.246150E-03   0.403379E-03   0.759289E-03   0.209626E+03   0.000000E+00   0.000000E+00   0.209626E+03  -0.419252E+03
   0.100639E+03   0.467913E+00   0.376349E-03   0.134928E-03   0.701194E-03   0.752976E-03   0.636851E-03   0.318318E-03   0.246150E-03   0.415946E-03   0.759289E-03   0.210390E+03   0.000000E+00   0.000000E+00   0.210390E+03  -0.420780E+03
   0.100639E+03   0.467913E+00   0.376349E-03   0.134928E-03   0.668424E-03   0.752976E-03   0.662851E-03   0.318318E-03   0.744558E-03   0.415946E-03   0.759289E-03   0.209879E+03   0.000000E+00   0.000000E+00   0.209879E+03  -0.419758E+03
   0.101022E+03   0.467913E+00   0.376349E-03   0.134928E-03   0.668424E-03   0.752976E-03   0.662851E-03   0.318318E-03   0.744558E-03   0.415946E-03   0.759289E-03   0.209051E+03   0.000000E+00   0.000000E+00   0.209051E+03  -0.418102E+03
   0.100318E+03   0.467913E+00   0.376349E-03   0.134928E-03   0.457902E-03   0.752976E-03   0.662851E-03   0.164997E-02   0.744558E-03   0.415946E-03   0.759289E-03   0.209484E+03   0.000000E+00   0.000000E+00   0.209484E+03  -0.418968E+03
   0.100318E+03   0.467913E+00   0.376349E-03   0.134928E-03   0.634597E-03   0.752976E-03   0.103014E-02   0.164997E-02   0.744558E-03   0.415946E-03   0.577016E-03   0.209199E+03   0.000000E+00   0.000000E+00   0.209199E+03  -0.418398E+03
   0.100318E+03   0.499804E+01   0.376349E-03   0.134928E-03   0.634597E-03   0.116051E-02   0.103014E-02   0.164997E-02   0.744558E-03   0.415946E-03   0.577016E-03   0.208118E+03   0.000000E+00   0.000000E+00   0.208118E+03  -0.416236E+03
   0.100318E+03  -0.251367E+01   0.376349E-03   0.134928E-03   0.634597E-03   0.116051E-02   0.103014E-02   0.137415E-02   0.744558E-03   0.396173E-03   0.577016E-03   0.207388E+03   0.000000E+00   0.000000E+00   0.207388E+03  -0.414776E+03
