a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  Y9_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.204644E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.176793E-02  0.100000E-02  0.100000E-02  0.202605E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.126482E-02  0.100000E-02  0.100000E-02  0.203585E+03
  0.100000E+03 -0.654612E+01  0.106237E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.126482E-02  0.761389E-03  0.100000E-02  0.200798E+03
  0.100000E+03  0.357971E+00  0.106237E-02  0.834965E-03  0.100000E-02  0.222772E-02  0.125884E-02  0.100000E-02  0.126482E-02  0.761389E-03  0.100000E-02  0.202483E+03
  0.100000E+03  0.357971E+00  0.106237E-02  0.721040E-03  0.100000E-02  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.204192E+03
  0.100000E+03  0.357971E+00  0.106237E-02  0.721040E-03  0.201398E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.204344E+03
  0.100000E+03  0.357971E+00  0.106237E-02  0.721040E-03  0.201398E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.204344E+03
  0.100000E+03  0.357971E+00  0.106237E-02  0.721040E-03  0.201398E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.204344E+03
  0.100000E+03  0.493134E+01  0.106237E-02  0.721040E-03  0.201398E-03  0.421204E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.202404E+03
  0.100000E+03  0.493134E+01  0.106237E-02  0.799952E-03  0.201398E-03  0.421204E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.202243E+03
  0.100000E+03  0.493134E+01  0.106237E-02  0.799952E-03  0.201398E-03  0.421204E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.202243E+03
  0.100000E+03  0.493134E+01  0.106237E-02  0.799952E-03  0.201398E-03  0.200092E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.204884E+03
  0.100000E+03  0.329073E+01  0.106237E-02  0.799952E-03  0.201398E-03  0.200092E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.205067E+03
  0.100000E+03  0.329073E+01  0.106237E-02  0.799952E-03  0.201398E-03  0.186488E-03  0.287107E-03  0.100000E-02  0.151261E-02  0.602576E-03  0.100000E-02  0.205734E+03
  0.100000E+03  0.262477E+01  0.106237E-02  0.799952E-03  0.201398E-03  0.186488E-03  0.287107E-03  0.100000E-02  0.151261E-02  0.602576E-03  0.100000E-02  0.205641E+03
  0.100000E+03  0.262477E+01  0.106237E-02  0.799952E-03  0.201398E-03  0.186488E-03  0.287107E-03  0.100000E-02  0.151261E-02  0.602576E-03  0.100000E-02  0.205641E+03
  0.100000E+03  0.262477E+01  0.106237E-02  0.799952E-03  0.201398E-03  0.186488E-03  0.287107E-03  0.100000E-02  0.151261E-02  0.602576E-03  0.100000E-02  0.205641E+03
  0.100000E+03  0.262477E+01  0.106237E-02  0.799952E-03  0.164462E-02  0.186488E-03  0.287107E-03  0.112071E-02  0.151261E-02  0.877877E-03  0.100000E-02  0.203031E+03
  0.100000E+03  0.262477E+01  0.145139E-02  0.799952E-03  0.199296E-02  0.599415E-04  0.287107E-03  0.112071E-02  0.151261E-02  0.877877E-03  0.100000E-02  0.201183E+03
  0.100000E+03  0.262477E+01  0.145139E-02  0.799952E-03  0.199296E-02  0.599415E-04  0.287107E-03  0.112071E-02  0.151261E-02  0.877877E-03  0.100000E-02  0.201183E+03
