a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.993011E+02   0.170531E+01   0.550989E+01   0.121624E+02  -0.590017E+01   0.248399E-03   0.155514E-02   0.834665E-03   0.740263E-03   0.497813E-03   0.110593E-02   0.440105E-03   0.388784E-03   0.999482E-03   0.203167E+03   0.000000E+00   0.000000E+00   0.203167E+03  -0.406334E+03
   0.102776E+03   0.170531E+01   0.550989E+01   0.170987E+02  -0.590017E+01   0.248399E-03   0.191270E-02   0.834665E-03   0.858457E-03   0.497813E-03   0.110593E-02   0.440105E-03   0.388784E-03   0.374817E-03   0.202175E+03   0.000000E+00   0.000000E+00   0.202175E+03  -0.404350E+03
   0.102776E+03   0.170531E+01   0.415541E+01   0.119746E+02  -0.214046E+01   0.248399E-03   0.718824E-03   0.834665E-03   0.858457E-03   0.497813E-03   0.110593E-02   0.440105E-03   0.388784E-03   0.171230E-02   0.202914E+03   0.000000E+00   0.000000E+00   0.202914E+03  -0.405828E+03
   0.102776E+03   0.170531E+01   0.665839E+00   0.778084E+01  -0.143978E+02   0.931444E-03   0.718824E-03   0.834665E-03   0.858457E-03   0.497813E-03   0.110593E-02   0.440105E-03   0.434960E-03   0.280046E-03   0.203593E+03   0.000000E+00   0.000000E+00   0.203593E+03  -0.407186E+03
   0.102776E+03   0.170531E+01  -0.302670E+01   0.601267E+01  -0.185873E+01   0.931444E-03   0.718824E-03   0.991521E-03   0.858457E-03   0.497813E-03   0.110593E-02   0.440105E-03   0.434960E-03   0.960625E-03   0.202764E+03   0.000000E+00   0.000000E+00   0.202764E+03  -0.405528E+03
   0.993135E+02   0.170531E+01  -0.140242E+01  -0.223967E+01  -0.635038E+01   0.931444E-03   0.718824E-03   0.991521E-03   0.952636E-03   0.497813E-03   0.110593E-02   0.440105E-03   0.434960E-03   0.960625E-03   0.208058E+03   0.000000E+00   0.000000E+00   0.208058E+03  -0.416116E+03
   0.993135E+02   0.170531E+01  -0.140242E+01  -0.708137E+01  -0.334380E+01   0.729809E-03   0.140246E-02   0.991521E-03   0.199288E-02   0.497813E-03   0.110593E-02   0.440105E-03   0.434960E-03   0.960625E-03   0.205315E+03   0.000000E+00   0.000000E+00   0.205315E+03  -0.410630E+03
   0.100884E+03   0.170531E+01  -0.112424E+02  -0.801614E+01  -0.377885E+01   0.729809E-03   0.140246E-02   0.991521E-03   0.199288E-02   0.106900E-02   0.110593E-02   0.440105E-03   0.434960E-03   0.285728E-03   0.205474E+03   0.000000E+00   0.000000E+00   0.205474E+03  -0.410948E+03
   0.101866E+03   0.170531E+01  -0.182870E+01   0.367955E+01  -0.548764E+01   0.729809E-03   0.140246E-02   0.991521E-03   0.199288E-02   0.106900E-02   0.110593E-02   0.440105E-03   0.434960E-03   0.285728E-03   0.203869E+03   0.000000E+00   0.000000E+00   0.203869E+03  -0.407738E+03
   0.983735E+02   0.170531E+01  -0.832901E+01  -0.664023E+01  -0.952194E+01   0.729809E-03   0.140246E-02   0.991521E-03   0.199288E-02   0.106900E-02   0.751362E-03   0.440105E-03   0.434960E-03   0.285728E-03   0.205216E+03   0.000000E+00   0.000000E+00   0.205216E+03  -0.410432E+03
   0.983735E+02   0.170531E+01  -0.832901E+01  -0.349545E+01  -0.918680E+01   0.729809E-03   0.140246E-02   0.991521E-03   0.935211E-03   0.106900E-02   0.751362E-03   0.440105E-03   0.434960E-03   0.285728E-03   0.207110E+03   0.000000E+00   0.000000E+00   0.207110E+03  -0.414220E+03
   0.983735E+02   0.170531E+01  -0.832901E+01  -0.429139E+01  -0.616357E+01   0.722857E-02   0.140246E-02   0.130631E-02   0.935211E-03   0.106900E-02   0.751362E-03   0.440105E-03   0.434960E-03   0.285728E-03   0.199957E+03   0.000000E+00   0.000000E+00   0.199957E+03  -0.399914E+03
   0.983735E+02   0.329243E+01  -0.741236E-01   0.541381E+01  -0.616357E+01   0.420329E-02   0.496045E-04   0.130631E-02   0.935211E-03   0.106900E-02   0.751362E-03   0.440105E-03   0.434960E-03   0.285728E-03   0.202052E+03   0.000000E+00   0.000000E+00   0.202052E+03  -0.404104E+03
   0.983735E+02   0.329243E+01  -0.741236E-01   0.343234E+01  -0.194980E+02   0.408335E-02   0.496045E-04   0.939753E-03   0.546260E-03   0.106900E-02   0.751362E-03   0.440105E-03   0.434960E-03   0.285728E-03   0.201948E+03   0.000000E+00   0.000000E+00   0.201948E+03  -0.403896E+03
   0.983735E+02   0.329243E+01  -0.385257E+01   0.343234E+01  -0.128486E+02   0.408335E-02   0.496045E-04   0.958170E-03   0.546260E-03   0.106900E-02   0.751362E-03   0.440105E-03   0.434960E-03   0.607112E-03   0.203558E+03   0.000000E+00   0.000000E+00   0.203558E+03  -0.407116E+03
   0.983735E+02   0.329243E+01  -0.918020E+01  -0.646245E+01  -0.459458E+01   0.495365E-02   0.496045E-04   0.958170E-03   0.546260E-03   0.864097E-03   0.218665E-03   0.440105E-03   0.434960E-03   0.607112E-03   0.200274E+03   0.000000E+00   0.000000E+00   0.200274E+03  -0.400548E+03
