a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101207E+03   0.391118E+01   0.818434E+01   0.543025E-03   0.299448E-03   0.142888E-03   0.120503E-02   0.189680E+03   0.000000E+00   0.000000E+00   0.189680E+03  -0.379360E+03
   0.101207E+03   0.391118E+01   0.116340E+02   0.543025E-03   0.299448E-03   0.142888E-03   0.120503E-02   0.187686E+03   0.000000E+00   0.000000E+00   0.187686E+03  -0.375372E+03
   0.101207E+03   0.391118E+01   0.259301E+00   0.543025E-03   0.299448E-03   0.267667E-03   0.120503E-02   0.190221E+03   0.000000E+00   0.000000E+00   0.190221E+03  -0.380442E+03
   0.101207E+03   0.143930E+01  -0.682218E+00   0.543025E-03   0.299448E-03   0.267667E-03   0.120503E-02   0.190872E+03   0.000000E+00   0.000000E+00   0.190872E+03  -0.381744E+03
   0.100136E+03   0.417729E+01  -0.682218E+00   0.543025E-03   0.299448E-03   0.267667E-03   0.120503E-02   0.189703E+03   0.000000E+00   0.000000E+00   0.189703E+03  -0.379406E+03
   0.998156E+02   0.417729E+01  -0.160404E+01   0.543025E-03   0.299448E-03   0.267667E-03   0.120503E-02   0.189077E+03   0.000000E+00   0.000000E+00   0.189077E+03  -0.378154E+03
   0.998156E+02   0.417729E+01  -0.160404E+01   0.277982E-03   0.299448E-03   0.267667E-03   0.120503E-02   0.189830E+03   0.000000E+00   0.000000E+00   0.189830E+03  -0.379660E+03
   0.998156E+02   0.333259E+01  -0.417285E+01   0.277982E-03   0.299448E-03   0.267667E-03   0.120503E-02   0.190224E+03   0.000000E+00   0.000000E+00   0.190224E+03  -0.380448E+03
   0.993562E+02   0.333259E+01  -0.424094E+00   0.277982E-03   0.299448E-03   0.267667E-03   0.120503E-02   0.188569E+03   0.000000E+00   0.000000E+00   0.188569E+03  -0.377138E+03
   0.993562E+02   0.333259E+01  -0.563736E+01   0.108486E-03   0.299448E-03   0.267667E-03   0.120503E-02   0.189064E+03   0.000000E+00   0.000000E+00   0.189064E+03  -0.378128E+03
