a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180395E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.517678E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180329E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.164514E+02 -0.795871E+01  0.100000E-02  0.100000E-02  0.496885E-03  0.100000E-02  0.181898E+03
  0.100000E+03 -0.461308E+01 -0.654612E+01 -0.163266E+02 -0.795871E+01  0.100000E-02  0.100000E-02  0.496885E-03  0.100000E-02  0.181470E+03
  0.100000E+03 -0.461308E+01 -0.654612E+01 -0.942252E+01 -0.204817E+01  0.834965E-03  0.100000E-02  0.496885E-03  0.100000E-02  0.182712E+03
  0.100000E+03 -0.461308E+01 -0.654612E+01  0.108068E+01  0.774813E+01  0.834965E-03  0.886075E-03  0.496885E-03  0.100000E-02  0.181610E+03
  0.100000E+03 -0.461308E+01 -0.654612E+01  0.763060E+00  0.998936E+01  0.277901E-03  0.886075E-03  0.496885E-03  0.100000E-02  0.182234E+03
  0.100000E+03 -0.461308E+01  0.485603E+00 -0.119614E+02  0.998936E+01  0.277901E-03  0.886075E-03  0.496885E-03  0.100000E-02  0.184307E+03
  0.100000E+03 -0.461308E+01  0.485603E+00 -0.328624E+01 -0.874793E+00  0.277901E-03  0.886075E-03  0.496885E-03  0.100000E-02  0.184199E+03
  0.100000E+03 -0.461308E+01  0.485603E+00 -0.236367E-01 -0.874793E+00  0.277901E-03  0.886075E-03  0.496885E-03  0.100000E-02  0.183673E+03
  0.100000E+03  0.787879E+01  0.445424E+01 -0.236367E-01 -0.430739E+01  0.277901E-03  0.886075E-03  0.496885E-03  0.100000E-02  0.183313E+03
  0.100000E+03  0.803662E+01  0.445424E+01 -0.236367E-01 -0.430739E+01  0.277901E-03  0.886075E-03  0.496885E-03  0.100000E-02  0.183168E+03
  0.100000E+03  0.803662E+01 -0.445122E+01 -0.236367E-01 -0.430739E+01  0.277901E-03  0.886075E-03  0.496885E-03  0.100000E-02  0.183052E+03
  0.100000E+03  0.271119E+01  0.443084E+01  0.251408E+01 -0.486100E+01  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.187463E+03
  0.100000E+03  0.271119E+01  0.443084E+01  0.251408E+01 -0.814840E+01  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.186804E+03
  0.100000E+03  0.271119E+01  0.443084E+01  0.251408E+01 -0.297953E+01  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.187752E+03
  0.100000E+03  0.320677E+01  0.157071E+01  0.251408E+01 -0.364549E+01  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.188543E+03
  0.100000E+03  0.320677E+01  0.157071E+01  0.251408E+01  0.417051E+01  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.188830E+03
  0.100000E+03  0.320677E+01  0.157071E+01  0.251408E+01 -0.744002E+00  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.188766E+03
  0.100000E+03  0.320677E+01  0.157071E+01  0.251408E+01  0.155191E+01  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.188847E+03
  0.100000E+03  0.320677E+01  0.157071E+01  0.701207E+00  0.155191E+01  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.188729E+03
  0.100000E+03  0.320677E+01 -0.387024E+01  0.701207E+00  0.359334E+01  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.188592E+03
  0.100000E+03  0.320677E+01 -0.456041E+00  0.701207E+00  0.359334E+01  0.277901E-03  0.472375E-03  0.496885E-03  0.100000E-02  0.188854E+03
