a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.102711E+03   0.552711E+01   0.188444E+02   0.936246E+01   0.437925E+01   0.236919E-03   0.491478E-03   0.350004E-03   0.113041E-02   0.187555E+03   0.000000E+00   0.000000E+00   0.187555E+03  -0.375110E+03
   0.103345E+03  -0.434691E+00   0.154111E+02  -0.354038E+01  -0.260584E+01   0.236919E-03   0.491478E-03   0.350004E-03   0.113041E-02   0.184976E+03   0.000000E+00   0.000000E+00   0.184976E+03  -0.369952E+03
   0.103345E+03  -0.434691E+00   0.745578E+01   0.680406E+00  -0.204374E+01   0.236919E-03   0.491478E-03   0.350004E-03   0.245801E-02   0.183468E+03   0.000000E+00   0.000000E+00   0.183468E+03  -0.366936E+03
   0.103345E+03  -0.446760E+00   0.748059E+01  -0.130761E+01  -0.195252E+01   0.236919E-03   0.491478E-03   0.350004E-03   0.136739E-02   0.185123E+03   0.000000E+00   0.000000E+00   0.185123E+03  -0.370246E+03
   0.103345E+03  -0.490605E-01   0.117616E+02  -0.209253E+00   0.361942E+02   0.236919E-03   0.491478E-03   0.609553E-03   0.136739E-02   0.186552E+03   0.000000E+00   0.000000E+00   0.186552E+03  -0.373104E+03
   0.103345E+03  -0.490605E-01   0.123585E+02  -0.125267E+02   0.309589E+02   0.236919E-03   0.913034E-03   0.609553E-03   0.136739E-02   0.183660E+03   0.000000E+00   0.000000E+00   0.183660E+03  -0.367320E+03
   0.103194E+03  -0.490605E-01   0.163109E+02  -0.147532E+02   0.164317E+02   0.236919E-03   0.913034E-03   0.609553E-03   0.136739E-02   0.183241E+03   0.000000E+00   0.000000E+00   0.183241E+03  -0.366482E+03
   0.103194E+03  -0.490605E-01   0.128291E+02  -0.723945E+01   0.164317E+02   0.615582E-03   0.913034E-03   0.115546E-03   0.136739E-02   0.186122E+03   0.000000E+00   0.000000E+00   0.186122E+03  -0.372244E+03
   0.103194E+03  -0.620774E+01   0.128291E+02  -0.549219E+01   0.164317E+02   0.615582E-03   0.913034E-03   0.115546E-03   0.136739E-02   0.185617E+03   0.000000E+00   0.000000E+00   0.185617E+03  -0.371234E+03
   0.102381E+03  -0.472415E+01   0.468434E+01  -0.225330E+01   0.182081E+01   0.615582E-03   0.393879E-03   0.115546E-03   0.136739E-02   0.186820E+03   0.000000E+00   0.000000E+00   0.186820E+03  -0.373640E+03
