a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.111741E+03  -0.412229E+01   0.147708E+02  -0.739077E+02   0.499457E-03   0.774435E+01   0.120093E+02   0.140596E+02   0.146920E+02   0.354933E+02
   0.109130E+03  -0.430191E+01   0.704753E+01  -0.645754E+02   0.436808E-03   0.884599E+01   0.833831E+01   0.151751E+02   0.200512E+02   0.356803E+02
   0.107645E+03  -0.314669E+01   0.282273E+01  -0.554717E+02   0.208932E-03   0.107076E+02   0.100395E+02   0.189760E+02   0.130504E+02   0.376981E+02
   0.995142E+02   0.118534E+02  -0.267814E+02  -0.145815E+02   0.736829E-03   0.124936E+02   0.125101E+02   0.142636E+02   0.162179E+02   0.345578E+02
   0.997074E+02   0.462225E+01  -0.144437E+01  -0.289532E+00   0.436891E-03   0.144098E+02   0.154805E+02   0.175846E+02   0.142203E+02   0.347095E+02
   0.994731E+02   0.125011E+01  -0.194221E+01  -0.112609E+02   0.436891E-03   0.100238E+02   0.984776E+01   0.171389E+02   0.155908E+02   0.397961E+02
   0.988776E+02   0.506848E+01  -0.660848E+01   0.523013E+01   0.342513E-03   0.108825E+02   0.988770E+01   0.121229E+02   0.133864E+02   0.398878E+02
   0.101455E+03  -0.556856E+01   0.277842E+01   0.972781E+01   0.441613E-04   0.989277E+01   0.905783E+01   0.153941E+02   0.174418E+02   0.373703E+02
   0.991081E+02   0.127425E+02   0.102613E+02   0.301492E+02   0.237342E-02   0.105992E+02   0.101984E+02   0.143719E+02   0.106937E+02   0.315026E+02
   0.991081E+02  -0.156092E+01  -0.293766E+01  -0.203547E+02   0.647731E-03   0.105557E+02   0.928885E+01   0.975658E+01   0.142727E+02   0.368249E+02
   0.991081E+02   0.170358E+01  -0.699797E+01  -0.117615E+02   0.472489E-03   0.963264E+01   0.875033E+01   0.125267E+02   0.154433E+02   0.398200E+02
   0.966429E+02   0.154457E+01   0.183701E+02  -0.494736E+01   0.127736E-02   0.750863E+01   0.786057E+01   0.175982E+02   0.110217E+02   0.305172E+02
   0.103835E+03   0.321299E+01   0.540870E+01  -0.420468E+02   0.668253E-03   0.492563E+01   0.871944E+01   0.143769E+02   0.160969E+02   0.314693E+02
   0.106207E+03  -0.121242E+01   0.725172E+01  -0.454970E+02   0.104542E-02   0.107698E+02   0.934293E+01   0.192248E+02   0.148027E+02   0.352218E+02
   0.112719E+03  -0.279562E+01   0.374108E+02  -0.746682E+02   0.167908E-02   0.834697E+01   0.116683E+02   0.176633E+02   0.161448E+02   0.302810E+02
   0.124100E+03  -0.373248E+02   0.556443E+02  -0.961824E+02   0.108240E-02   0.824893E+01   0.654811E+01   0.113483E+02   0.159773E+02   0.311918E+02
   0.122347E+03  -0.221546E+02   0.377066E+02  -0.994991E+02   0.421076E-03   0.122030E+02   0.888842E+01   0.118268E+02   0.122144E+02   0.309507E+02
   0.122713E+03  -0.119957E+02   0.313799E+02  -0.994991E+02   0.369494E-03   0.748889E+01   0.148240E+02   0.117858E+02   0.123166E+02   0.314578E+02
   0.123152E+03  -0.168600E+02   0.385247E+02  -0.994991E+02   0.505522E-03   0.947988E+01   0.849018E+01   0.114813E+02   0.249671E+02   0.300926E+02
   0.122986E+03  -0.164090E+02   0.461292E+02  -0.101381E+03   0.819434E-03   0.887063E+01   0.912496E+01   0.139990E+02   0.133208E+02   0.329381E+02
   0.124555E+03  -0.235062E+02   0.451199E+02  -0.105375E+03   0.143888E-02   0.131804E+02   0.912496E+01   0.174327E+02   0.145698E+02   0.324382E+02
   0.125343E+03  -0.223769E+02   0.373438E+02  -0.105375E+03   0.253291E-02   0.928576E+01   0.101995E+02   0.957104E+01   0.154467E+02   0.289491E+02
   0.124999E+03  -0.218053E+02   0.396576E+02  -0.105375E+03   0.964525E-03   0.716116E+01   0.802123E+01   0.159660E+02   0.142237E+02   0.322936E+02
   0.126476E+03  -0.221518E+02   0.424274E+02  -0.104849E+03   0.578253E-03   0.777783E+01   0.108395E+02   0.165057E+02   0.205080E+02   0.318271E+02
   0.125350E+03  -0.212014E+02   0.424274E+02  -0.104779E+03   0.212847E-02   0.798934E+01   0.986137E+01   0.165057E+02   0.167894E+02   0.319268E+02
   0.129413E+03  -0.212014E+02   0.481157E+02  -0.112867E+03   0.988094E-03   0.141067E+02   0.142360E+02   0.100170E+02   0.165316E+02   0.281365E+02
   0.127365E+03   0.105072E+01   0.385186E+02  -0.114974E+03   0.343754E-02   0.125160E+02   0.784090E+01   0.116617E+02   0.166517E+02   0.269202E+02
   0.129865E+03  -0.529081E+01   0.269260E+02  -0.115649E+03   0.169058E-02   0.102154E+02   0.118562E+02   0.129718E+02   0.122324E+02   0.327571E+02
   0.127164E+03  -0.529081E+01   0.251807E+02  -0.108490E+03   0.810320E-03   0.788573E+01   0.977591E+01   0.140058E+02   0.164742E+02   0.346837E+02
   0.127164E+03  -0.151172E+02   0.395722E+02  -0.108490E+03   0.986870E-03   0.869018E+01   0.110254E+02   0.187124E+02   0.128570E+02   0.329859E+02
   0.127164E+03  -0.151172E+02   0.395722E+02  -0.110481E+03   0.890950E-03   0.101747E+02   0.972219E+01   0.144403E+02   0.130200E+02   0.348184E+02
   0.128121E+03  -0.197109E+02   0.395722E+02  -0.110481E+03   0.620361E-03   0.117856E+02   0.905377E+01   0.130532E+02   0.102631E+02   0.322485E+02
   0.129140E+03  -0.121019E+01   0.601844E+02  -0.110934E+03   0.220228E-02   0.874870E+01   0.102144E+02   0.164451E+02   0.166007E+02   0.269197E+02
   0.129140E+03  -0.154360E+02   0.360340E+02  -0.111567E+03   0.783207E-03   0.858948E+01   0.858350E+01   0.165423E+02   0.142072E+02   0.342268E+02
   0.128303E+03  -0.127818E+02   0.330071E+02  -0.111567E+03   0.470079E-03   0.746859E+01   0.941510E+01   0.129885E+02   0.189161E+02   0.327644E+02
   0.128712E+03  -0.135063E+02   0.330071E+02  -0.111567E+03   0.420547E-03   0.121623E+02   0.109742E+02   0.145562E+02   0.223297E+02   0.310153E+02
   0.128742E+03  -0.128492E+02   0.320527E+02  -0.111567E+03   0.107837E-02   0.107183E+02   0.800449E+01   0.136420E+02   0.141697E+02   0.340934E+02
   0.129635E+03  -0.126686E+02   0.323824E+02  -0.111567E+03   0.313108E-04   0.885853E+01   0.137946E+02   0.119930E+02   0.100810E+02   0.297650E+02
