x(m)	h1(mm)
0.504	40.8335494653339
0.604	40.518887873558
0.704	39.9569740416694
0.804	39.7588393055551
0.904	39.7509470112234
1.004	39.6721868946668
1.104	39.5017208338895
1.204	39.9428805077778
1.304	40.1608616464458
1.404	40.1539155740012
1.504	40.2872203367785
1.604	40.1852895882229
1.704	39.857227550781
1.804	39.8686377661145
1.904	39.7253582654459
2.004	39.6414435532243
2.104	39.6055432124473
2.204	39.2927330297779
2.304	39.2335506258909
2.404	39.5681463106695
2.504	39.6989849884446
2.604	39.7960950320019
2.704	40.1367550494457
2.804	40.3126197117772
2.904	40.3076391452246
3.004	40.4134725427779
3.104	40.7475407522234
3.204	40.842701067221
3.304	40.9407852717792
3.404	40.8933054992213
3.504	40.9200181774445
3.604	40.5441841988912
3.704	40.6826982846683
3.804	40.6792775164445
3.904	40.2764226207802
4.004	39.9037156206691
4.104	39.9898171901123
4.204	40.0314532956684
4.304	40.2510965461121
4.404	40.2321001025571
4.504	39.9038804176676
4.604	39.7886164490041
4.704	40.7179185161108
4.804	40.5865010057784
4.904	40.3727668731115
5.004	40.3876081365577
5.104	40.1756521301122
5.204	39.946745157446
5.304	39.6282052772236
5.404	39.9866461651139
5.504	40.0785467890004
5.604	40.3499742543323
5.704	40.5396874649996
5.804	40.4967468534454
5.904	40.6547214416678
6.004	40.734953441113
6.104	41.047630300556
6.204	39.8303433968897
6.304	39.7603296050028
6.404	39.5305034943332
6.504	39.5076072405564
6.604	39.5531661897797
6.704	39.7218720595571
6.804	39.5374674251119
6.904	39.4557254974469
7.004	39.4596387913355
7.104	39.8989824212241
7.204	40.0669392985585
7.304	40.3489502953355
7.404	40.5181018701143
7.504	40.5880891678898
7.604	40.7447403064485
7.704	40.5641605557772
7.804	40.1077735300024
7.904	40.0857800515569
8.004	39.9753775651139
8.104	39.8235514375579
8.204	39.8145004874443
8.304	40.1514495228905
8.404	39.9344631581141
8.504	39.5430356624462
8.604	39.6489457925594
8.704	39.7426133172256
8.804	39.5024809519998
8.904	39.6993614748893
9.004	39.6831607342243
9.104	39.9725520268911
9.204	40.4313646633325
9.304	40.2852878424459
9.404	40.4145759120011
9.504	40.2462146715555
9.604	40.3320587698904
9.704	40.3260975224452
9.804	40.3538706093331
9.904	40.5880799227765
10.004	40.6294055575563
10.104	40.8447862514449
10.204	41.0085194081093
10.304	40.9932001672223
10.404	41.2485575109995
10.504	41.3863941212225
10.604	41.6042691775576
10.704	41.016173843777
10.804	40.7699836984435
10.904	40.6882398468882
11.004	40.7853927574437
11.104	40.7026757456637
11.204	40.4458449797771
11.304	40.4937230363305
11.404	40.5916013622204
11.504	40.3785522822212
11.604	40.9603183333337
11.704	40.6894857472234
11.804	40.359729244668
11.904	40.6397141918886
12.004	40.4188367744449
12.104	40.160953089112
12.204	39.5870914024451
12.304	39.8881236431096
12.404	39.8043805570003
12.504	40.1281574424438
12.604	39.9438212070025
12.704	39.9928124273313
12.804	39.6046502430016
12.904	39.5277191151111
13.004	40.0262340584446
13.104	40.0236446111102
13.204	39.9327544032224
13.304	40.079122248002
13.404	40.0925017042191
13.504	40.1277184595557
13.604	40.3925352500003
13.704	39.5387847423351
13.804	39.7481862274457
13.904	39.5028253960012
14.004	39.7853020373352
14.104	39.5055194925577
14.204	39.4797760112244
14.304	39.3970393143357
14.404	39.6649480164456
14.504	39.7580673284476
14.604	39.7226449917801
14.704	40.0416196478911
14.804	40.2006478616666
14.904	40.2344324349996
15.004	40.5189469782231
15.104	40.4771893955572
15.204	40.3383311628907
15.304	40.4480912616672
15.404	40.5098188226683
15.504	40.5645960528912
15.604	40.5030661087796
15.704	40.4258653476695
15.804	40.3973287491137
15.904	40.3676965495576
16.004	40.7077968640003
16.104	40.2833122410019
16.204	40.2993586590014
16.304	40.2228668158916
16.404	40.0288302452237
16.504	40.1712408572233
