a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101237E+03  -0.605115E-01  -0.355888E-01  -0.382548E+01   0.645541E-04   0.749567E-04   0.360623E-03   0.793167E-03   0.190507E+03   0.000000E+00   0.000000E+00   0.190507E+03  -0.381014E+03
   0.101237E+03  -0.605115E-01  -0.177430E-02  -0.660003E+01   0.100007E-02   0.749567E-04   0.360623E-03   0.793167E-03   0.187696E+03   0.000000E+00   0.000000E+00   0.187696E+03  -0.375392E+03
   0.101447E+03  -0.129290E+01  -0.177430E-02  -0.111493E+02   0.100007E-02   0.749567E-04   0.360623E-03   0.793167E-03   0.187094E+03   0.000000E+00   0.000000E+00   0.187094E+03  -0.374188E+03
   0.101447E+03  -0.307538E+01   0.811596E-01  -0.111493E+02   0.100007E-02   0.749567E-04   0.360623E-03   0.793167E-03   0.186626E+03   0.000000E+00   0.000000E+00   0.186626E+03  -0.373252E+03
   0.101447E+03  -0.307538E+01  -0.444369E+01  -0.454283E+01   0.100007E-02   0.749567E-04   0.360623E-03   0.111360E-02   0.186788E+03   0.000000E+00   0.000000E+00   0.186788E+03  -0.373576E+03
   0.101447E+03   0.135367E+01  -0.453364E+00  -0.454283E+01   0.124180E-02   0.749567E-04   0.360623E-03   0.111360E-02   0.187968E+03   0.000000E+00   0.000000E+00   0.187968E+03  -0.375936E+03
   0.101447E+03   0.132766E+00   0.372042E+01  -0.183389E+01   0.124180E-02   0.749567E-04   0.360623E-03   0.105867E-02   0.188039E+03   0.000000E+00   0.000000E+00   0.188039E+03  -0.376078E+03
   0.101885E+03   0.310045E-02   0.372042E+01  -0.215810E+00   0.124180E-02   0.749567E-04   0.360623E-03   0.105867E-02   0.187488E+03   0.000000E+00   0.000000E+00   0.187488E+03  -0.374976E+03
   0.101885E+03   0.343164E+01   0.372042E+01   0.159815E+02   0.124180E-02   0.749567E-04   0.360623E-03   0.105867E-02   0.186590E+03   0.000000E+00   0.000000E+00   0.186590E+03  -0.373180E+03
   0.101885E+03  -0.349397E+01  -0.312794E+00  -0.531140E+01   0.124180E-02   0.115561E-04   0.360623E-03   0.105867E-02   0.185788E+03   0.000000E+00   0.000000E+00   0.185788E+03  -0.371576E+03
