a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.103064E+03  0.429594E+01  0.463882E+01  0.337944E-03  0.329965E-03  0.694516E-03  0.144424E+03
  0.103064E+03  0.429594E+01  0.663432E+01  0.337944E-03  0.329965E-03  0.694516E-03  0.144689E+03
  0.103064E+03  0.429594E+01  0.672909E+01  0.337944E-03  0.329965E-03  0.694516E-03  0.144697E+03
  0.103064E+03  0.429594E+01  0.355920E+01  0.337944E-03  0.329965E-03  0.694516E-03  0.144219E+03
  0.103025E+03  0.429594E+01  0.355920E+01  0.337944E-03  0.329965E-03  0.694516E-03  0.144344E+03
  0.103025E+03  0.321280E+01  0.136201E+02  0.337944E-03  0.329965E-03  0.694516E-03  0.144363E+03
  0.103025E+03  0.909002E+01  0.136201E+02  0.282295E-03  0.329965E-03  0.694516E-03  0.141727E+03
  0.103025E+03  0.909002E+01  0.797031E+00  0.282295E-03  0.329965E-03  0.694516E-03  0.140538E+03
  0.103025E+03  0.909002E+01  0.103080E+02  0.282295E-03  0.373815E-03  0.694516E-03  0.142093E+03
  0.103025E+03  0.909002E+01  0.691609E+01  0.282295E-03  0.373815E-03  0.694516E-03  0.141936E+03
  0.101210E+03  0.909002E+01  0.688316E+01  0.282295E-03  0.373815E-03  0.694516E-03  0.142669E+03
  0.101210E+03  0.651437E+01  0.688316E+01  0.282295E-03  0.373815E-03  0.694516E-03  0.144742E+03
  0.101210E+03  0.156509E+01  0.688316E+01  0.282295E-03  0.373815E-03  0.592684E-03  0.146401E+03
  0.101210E+03  0.156509E+01  0.231305E+01  0.282295E-03  0.373815E-03  0.592684E-03  0.147519E+03
  0.101210E+03  0.156509E+01  0.654047E+01  0.282295E-03  0.373815E-03  0.592684E-03  0.146526E+03
  0.101210E+03  0.156509E+01  0.654047E+01  0.282295E-03  0.373815E-03  0.592684E-03  0.146526E+03
  0.101210E+03  0.156509E+01  0.391428E+01  0.282295E-03  0.373815E-03  0.592684E-03  0.147256E+03
  0.101210E+03  0.156509E+01  0.391428E+01  0.282295E-03  0.373815E-03  0.592684E-03  0.147256E+03
  0.101210E+03  0.156509E+01  0.391428E+01  0.282295E-03  0.328021E-03  0.592684E-03  0.147472E+03
  0.101210E+03  0.156509E+01  0.391428E+01  0.282295E-03  0.328021E-03  0.592684E-03  0.147472E+03
  0.101210E+03  0.156509E+01  0.391428E+01  0.282295E-03  0.328021E-03  0.592684E-03  0.147472E+03
  0.101210E+03  0.156509E+01  0.391428E+01  0.658263E-03  0.328021E-03  0.592684E-03  0.146361E+03
  0.101210E+03  0.156509E+01  0.391428E+01  0.658263E-03  0.328021E-03  0.592684E-03  0.146361E+03
  0.101210E+03  0.156509E+01 -0.512195E+01  0.658263E-03  0.328021E-03  0.592684E-03  0.146364E+03
  0.101210E+03  0.156509E+01 -0.781748E+01  0.548229E-03  0.328021E-03  0.592684E-03  0.146153E+03
  0.101210E+03  0.156509E+01  0.278912E+01  0.916108E-04  0.328021E-03  0.592684E-03  0.147954E+03
  0.101210E+03  0.156509E+01  0.278912E+01  0.916108E-04  0.328021E-03  0.592684E-03  0.147954E+03
  0.101210E+03  0.156509E+01  0.278912E+01  0.916108E-04  0.328021E-03  0.592684E-03  0.147954E+03
  0.101210E+03  0.156509E+01  0.197593E+01  0.916108E-04  0.328021E-03  0.592684E-03  0.148069E+03
  0.101210E+03  0.156509E+01 -0.168092E+01  0.916108E-04  0.328021E-03  0.592684E-03  0.148189E+03
