a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101090E+03  -0.856121E+00   0.401088E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.150354E+03   0.000000E+00   0.000000E+00   0.150354E+03  -0.300708E+03
   0.101090E+03  -0.856121E+00   0.204522E+00   0.105992E-03   0.159579E-03   0.244594E-05   0.150926E+03   0.000000E+00   0.000000E+00   0.150926E+03  -0.301852E+03
   0.101090E+03  -0.856121E+00   0.204522E+00   0.105992E-03   0.159579E-03   0.244594E-05   0.150926E+03   0.000000E+00   0.000000E+00   0.150926E+03  -0.301852E+03
   0.101090E+03   0.320555E+01   0.601821E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.150027E+03   0.000000E+00   0.000000E+00   0.150027E+03  -0.300054E+03
   0.101090E+03  -0.104356E+01   0.138639E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.150742E+03   0.000000E+00   0.000000E+00   0.150742E+03  -0.301484E+03
   0.101090E+03  -0.104356E+01  -0.194324E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.150665E+03   0.000000E+00   0.000000E+00   0.150665E+03  -0.301330E+03
   0.101090E+03   0.256809E+01  -0.740191E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.149165E+03   0.000000E+00   0.000000E+00   0.149165E+03  -0.298330E+03
   0.101090E+03   0.256809E+01  -0.740191E+01   0.105992E-03   0.159579E-03   0.446016E-03   0.148707E+03   0.000000E+00   0.000000E+00   0.148707E+03  -0.297414E+03
   0.101090E+03   0.136739E+01  -0.740191E+01   0.105992E-03   0.159579E-03   0.446016E-03   0.148758E+03   0.000000E+00   0.000000E+00   0.148758E+03  -0.297516E+03
   0.100358E+03   0.136739E+01  -0.740191E+01   0.105992E-03   0.159579E-03   0.446016E-03   0.148578E+03   0.000000E+00   0.000000E+00   0.148578E+03  -0.297156E+03
   0.100358E+03   0.136739E+01  -0.110654E+02   0.101786E-02   0.159579E-03   0.446016E-03   0.144546E+03   0.000000E+00   0.000000E+00   0.144546E+03  -0.289092E+03
   0.100358E+03   0.136739E+01  -0.458994E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147423E+03   0.000000E+00   0.000000E+00   0.147423E+03  -0.294846E+03
   0.100358E+03   0.222411E+00  -0.458994E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147063E+03   0.000000E+00   0.000000E+00   0.147063E+03  -0.294126E+03
   0.100358E+03   0.222411E+00  -0.252537E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147097E+03   0.000000E+00   0.000000E+00   0.147097E+03  -0.294194E+03
   0.100358E+03   0.361197E+01   0.141567E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.146782E+03   0.000000E+00   0.000000E+00   0.146782E+03  -0.293564E+03
   0.101297E+03   0.361197E+01   0.141567E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.148044E+03   0.000000E+00   0.000000E+00   0.148044E+03  -0.296088E+03
   0.101297E+03   0.423801E+01   0.141567E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147800E+03   0.000000E+00   0.000000E+00   0.147800E+03  -0.295600E+03
   0.101297E+03   0.423801E+01   0.141567E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147800E+03   0.000000E+00   0.000000E+00   0.147800E+03  -0.295600E+03
   0.101297E+03   0.423801E+01   0.459460E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147380E+03   0.000000E+00   0.000000E+00   0.147380E+03  -0.294760E+03
   0.101297E+03   0.411277E+01   0.459460E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146908E+03   0.000000E+00   0.000000E+00   0.146908E+03  -0.293816E+03
   0.101297E+03   0.411277E+01   0.146014E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.147240E+03   0.000000E+00   0.000000E+00   0.147240E+03  -0.294480E+03
   0.100398E+03   0.411277E+01  -0.724294E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.145974E+03   0.000000E+00   0.000000E+00   0.145974E+03  -0.291948E+03
   0.100398E+03   0.411277E+01   0.150052E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146298E+03   0.000000E+00   0.000000E+00   0.146298E+03  -0.292596E+03
   0.100398E+03   0.411277E+01   0.150052E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146298E+03   0.000000E+00   0.000000E+00   0.146298E+03  -0.292596E+03
   0.100398E+03  -0.265358E+00  -0.357211E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146605E+03   0.000000E+00   0.000000E+00   0.146605E+03  -0.293210E+03
   0.100398E+03  -0.265358E+00  -0.357211E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146605E+03   0.000000E+00   0.000000E+00   0.146605E+03  -0.293210E+03
   0.100398E+03   0.775522E+00   0.129985E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146539E+03   0.000000E+00   0.000000E+00   0.146539E+03  -0.293078E+03
   0.100398E+03   0.432072E+01  -0.697702E+01   0.704695E-03   0.232877E-03   0.446016E-03   0.146191E+03   0.000000E+00   0.000000E+00   0.146191E+03  -0.292382E+03
   0.100398E+03   0.372011E+01  -0.134979E+01   0.704695E-03   0.232877E-03   0.446016E-03   0.147071E+03   0.000000E+00   0.000000E+00   0.147071E+03  -0.294142E+03
   0.100398E+03  -0.217443E+01  -0.269153E+01   0.704695E-03   0.837824E-03   0.419864E-03   0.143654E+03   0.000000E+00   0.000000E+00   0.143654E+03  -0.287308E+03
   0.100398E+03   0.125412E+01   0.822927E+01   0.704695E-03   0.837824E-03   0.419864E-03   0.142534E+03   0.000000E+00   0.000000E+00   0.142534E+03  -0.285068E+03
   0.100398E+03  -0.173441E+01  -0.112846E+02   0.704695E-03   0.780763E-03   0.419864E-03   0.142676E+03   0.000000E+00   0.000000E+00   0.142676E+03  -0.285352E+03
   0.100292E+03   0.136658E+01  -0.209478E+01   0.704695E-03   0.780763E-03   0.255196E-03   0.145691E+03   0.000000E+00   0.000000E+00   0.145691E+03  -0.291382E+03
