Station;Fuseau;Chronique;Unite
LAGNIEU;UTC+00;DEB;m3/s
DateHeure;Valeur;Qualite;Min;Max
24/03/2009 00:00:00;287.922;v;;
24/03/2009 01:00:00;276.543;v;;
24/03/2009 02:00:00;275.279;v;;
24/03/2009 03:00:00;279.078;v;;
24/03/2009 04:00:00;297.754;v;;
24/03/2009 05:00:00;314.126;v;;
24/03/2009 06:00:00;346.208;v;;
24/03/2009 07:00:00;369.791;v;;
24/03/2009 08:00:00;402.924;v;;
24/03/2009 09:00:00;448.712;v;;
24/03/2009 10:00:00;492.263;v;;
24/03/2009 11:00:00;511.526;v;;
24/03/2009 12:00:00;518.196;v;;
24/03/2009 13:00:00;521.983;v;;
24/03/2009 14:00:00;521.140;v;;
24/03/2009 15:00:00;520.689;v;;
24/03/2009 16:00:00;517.674;v;;
24/03/2009 17:00:00;518.695;v;;
24/03/2009 18:00:00;527.112;v;;
24/03/2009 19:00:00;539.993;v;;
24/03/2009 20:00:00;504.311;v;;
24/03/2009 21:00:00;452.645;v;;
24/03/2009 22:00:00;401.174;v;;
24/03/2009 23:00:00;371.380;v;;
25/03/2009 00:00:00;310.209;v;;
