               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.996507E+02  -0.449867E+01  -0.935194E+01   0.169411E-04   0.137433E-04   0.140825E-04   0.460051E-03
Maximum           0.103341E+03   0.818712E+01   0.155278E+02   0.157956E-02   0.109598E-02   0.897384E-03   0.291522E-02
Range             0.369030E+01   0.126858E+02   0.248797E+02   0.156262E-02   0.108224E-02   0.883302E-03   0.245517E-02
Mean              0.101130E+03   0.178913E+01   0.260690E+01   0.372095E-03   0.313914E-03   0.155944E-03   0.120972E-02
Median            0.100945E+03   0.176623E+01   0.213116E+01   0.264023E-03   0.283168E-03   0.105289E-03   0.113545E-02
Q10%              0.100263E+03  -0.114742E+01  -0.288615E+01   0.308998E-04   0.129589E-03   0.274183E-04   0.764473E-03
Q25%              0.100603E+03   0.401036E+00  -0.510866E+00   0.130751E-03   0.181687E-03   0.366194E-04   0.896637E-03
Q75%              0.101559E+03   0.337641E+01   0.529977E+01   0.402926E-03   0.359190E-03   0.224742E-03   0.139633E-02
Q90%              0.102123E+03   0.441504E+01   0.823181E+01   0.919383E-03   0.615514E-03   0.418512E-03   0.172829E-02
St.Dev.           0.809736E+00   0.205936E+01   0.452895E+01   0.363705E-03   0.185052E-03   0.154385E-03   0.428994E-03
Variance          0.655672E+00   0.424098E+01   0.205114E+02   0.132281E-06   0.342443E-07   0.238348E-07   0.184036E-06
CV                0.800691E-02   0.115104E+01   0.173729E+01   0.977453E+00   0.589500E+00   0.990003E+00   0.354623E+00
Skewness          0.813510E+00  -0.148979E+00   0.313062E+00   0.171311E+01   0.147866E+01   0.153209E+01   0.123989E+01
Kurtosis          0.601465E+00  -0.257924E-01   0.347915E+00   0.243538E+01   0.250138E+01   0.239805E+01   0.172887E+01
MaxPost           0.100960E+03   0.175744E+01   0.189962E+01   0.257700E-04   0.863831E-04   0.140825E-04   0.908142E-03
