a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181725E+03
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181725E+03
  0.101536E+03  0.110153E+01  0.106728E+02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181256E+03
  0.101536E+03  0.110153E+01  0.106728E+02  0.100000E-02  0.496885E-03  0.100000E-02  0.100000E-02  0.183531E+03
  0.101536E+03  0.110153E+01  0.107975E+02  0.100000E-02  0.496885E-03  0.100000E-02  0.100000E-02  0.183496E+03
  0.101536E+03  0.624310E+00  0.512254E+01  0.100000E-02  0.496885E-03  0.100000E-02  0.834965E-03  0.184048E+03
  0.101536E+03  0.307976E+01  0.512254E+01  0.100000E-02  0.496885E-03  0.170787E-03  0.834965E-03  0.189066E+03
  0.101536E+03  0.307976E+01  0.512254E+01  0.886075E-03  0.496885E-03  0.170787E-03  0.834965E-03  0.189520E+03
  0.101536E+03  0.307976E+01  0.100196E+02  0.886075E-03  0.496885E-03  0.170787E-03  0.834965E-03  0.189003E+03
  0.101536E+03  0.148255E+01  0.100196E+02  0.886075E-03  0.496885E-03  0.170787E-03  0.834965E-03  0.189341E+03
  0.101536E+03  0.148255E+01  0.100196E+02  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.190259E+03
  0.101536E+03  0.148255E+01  0.100196E+02  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.190259E+03
  0.101536E+03  0.148255E+01 -0.121174E+01  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.190739E+03
  0.101536E+03  0.148255E+01  0.549994E+01  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.191572E+03
  0.101536E+03  0.148255E+01  0.549994E+01  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.191572E+03
  0.101536E+03  0.148255E+01  0.549994E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.193331E+03
  0.101536E+03  0.148255E+01  0.549994E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.193331E+03
  0.101536E+03  0.148255E+01  0.549994E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.193331E+03
  0.100708E+03  0.148255E+01  0.212108E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.193834E+03
  0.100708E+03  0.148255E+01 -0.786726E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.191570E+03
  0.100708E+03  0.148255E+01 -0.653999E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.192239E+03
  0.100708E+03  0.197813E+01 -0.940011E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.190558E+03
  0.100708E+03  0.197813E+01 -0.130280E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.193802E+03
  0.100708E+03  0.197813E+01 -0.130280E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.193802E+03
