a0_min_r_1     a0_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.113447E+03   0.385418E+02   0.156260E-03   0.758951E+01   0.807869E+01   0.196597E+02   0.193809E+02   0.468330E+02  -0.105523E+02   0.000000E+00   0.573853E+02  -0.114771E+03
   0.113447E+03   0.399974E+02   0.156260E-03   0.758951E+01   0.799729E+01   0.191749E+02   0.181599E+02   0.478479E+02  -0.998244E+01   0.000000E+00   0.578303E+02  -0.115661E+03
   0.113447E+03   0.399974E+02   0.156260E-03   0.695618E+01   0.799729E+01   0.193640E+02   0.181599E+02   0.471680E+02  -0.106623E+02   0.000000E+00   0.578303E+02  -0.115661E+03
   0.113447E+03   0.399974E+02   0.156260E-03   0.701749E+01   0.743471E+01   0.200709E+02   0.176597E+02   0.467077E+02  -0.111227E+02   0.000000E+00   0.578304E+02  -0.115661E+03
   0.113447E+03   0.399974E+02   0.156260E-03   0.655002E+01   0.743471E+01   0.190156E+02   0.162890E+02   0.468465E+02  -0.109839E+02   0.000000E+00   0.578304E+02  -0.115661E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.747722E+01   0.882927E+01   0.192312E+02   0.155730E+02   0.488093E+02  -0.916968E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.789754E+01   0.103403E+02   0.177660E+02   0.146548E+02   0.497011E+02  -0.827784E+01   0.000000E+00   0.579789E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.842141E+01   0.965753E+01   0.171158E+02   0.140481E+02   0.502044E+02  -0.777453E+01   0.000000E+00   0.579789E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.890166E+01   0.965753E+01   0.171158E+02   0.141952E+02   0.503540E+02  -0.762493E+01   0.000000E+00   0.579789E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.890166E+01   0.835671E+01   0.171448E+02   0.139182E+02   0.500914E+02  -0.788755E+01   0.000000E+00   0.579789E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.922514E+01   0.871838E+01   0.190057E+02   0.139182E+02   0.496889E+02  -0.829005E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.854463E+01   0.963445E+01   0.165628E+02   0.143310E+02   0.503854E+02  -0.759359E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.854463E+01   0.885933E+01   0.133699E+02   0.141374E+02   0.504705E+02  -0.750847E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.932623E+01   0.885933E+01   0.123909E+02   0.141374E+02   0.504164E+02  -0.756255E+01   0.000000E+00   0.579789E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.919495E+01   0.964895E+01   0.139610E+02   0.121402E+02   0.503950E+02  -0.758402E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.938599E+01   0.825992E+01   0.161348E+02   0.104355E+02   0.490450E+02  -0.893396E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.802770E+01   0.883296E+01   0.158187E+02   0.104355E+02   0.488965E+02  -0.908250E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.806877E+01   0.909553E+01   0.167053E+02   0.105222E+02   0.488717E+02  -0.910728E+01   0.000000E+00   0.579790E+02  -0.115958E+03
