a0_min         a0_flood       a1_flood       a2_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100000E+03   0.330000E+02   0.000000E+00   0.000000E+00   0.500000E-03   0.100000E+02   0.100000E+02   0.100000E+02   0.100000E+02   0.722125E+02  -0.644834E+01   0.000000E+00   0.786608E+02  -0.157322E+03
   0.107954E+03   0.348326E+02  -0.413808E+00  -0.134070E+00   0.655303E-03   0.939983E+01   0.891986E+01   0.100550E+02   0.999943E+01   0.729553E+02  -0.648915E+01   0.000000E+00   0.794445E+02  -0.158889E+03
   0.114520E+03   0.324942E+02  -0.145039E+00  -0.271793E+00   0.655303E-03   0.101368E+02   0.881923E+01   0.108172E+02   0.116472E+02   0.725302E+02  -0.713473E+01   0.000000E+00   0.796649E+02  -0.159330E+03
   0.109907E+03   0.303339E+02  -0.142544E+00  -0.538450E+00   0.655303E-03   0.910907E+01   0.912580E+01   0.104623E+02   0.111166E+02   0.723377E+02  -0.679364E+01   0.000000E+00   0.791313E+02  -0.158263E+03
   0.124246E+03   0.326123E+02  -0.243337E-01  -0.545051E+00   0.277057E-02   0.935461E+01   0.852192E+01   0.969729E+01   0.109508E+02   0.730822E+02  -0.677211E+01   0.000000E+00   0.798543E+02  -0.159709E+03
   0.124246E+03   0.307291E+02  -0.924447E-01  -0.329073E+00   0.277057E-02   0.900180E+01   0.857049E+01   0.969729E+01   0.973574E+01   0.731945E+02  -0.658787E+01   0.000000E+00   0.797824E+02  -0.159565E+03
   0.129143E+03   0.328107E+02  -0.781689E-01  -0.139576E+00   0.270657E-02   0.102220E+02   0.841077E+01   0.851693E+01   0.104389E+02   0.731041E+02  -0.690529E+01   0.000000E+00   0.800094E+02  -0.160019E+03
   0.116418E+03   0.344943E+02   0.129106E+00  -0.860595E-01   0.270657E-02   0.105914E+02   0.976827E+01   0.851693E+01   0.113826E+02   0.727123E+02  -0.703121E+01   0.000000E+00   0.797435E+02  -0.159487E+03
   0.125094E+03   0.309091E+02   0.321865E+00  -0.198220E-01   0.133046E-02   0.100102E+02   0.841206E+01   0.723917E+01   0.117089E+02   0.719347E+02  -0.810077E+01   0.000000E+00   0.800355E+02  -0.160071E+03
   0.141669E+03   0.281520E+02   0.413333E+00   0.957721E-01   0.332167E-02   0.112594E+02   0.880892E+01   0.723917E+01   0.113656E+02   0.718733E+02  -0.813156E+01   0.000000E+00   0.800049E+02  -0.160010E+03
