a0_min         a0_flood       a1_flood       a2_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.182918E+03   0.168973E+02   0.189829E+01  -0.129137E+01   0.309409E-02   0.102715E+02   0.878960E+01   0.103635E+02   0.103874E+02   0.732283E+02
   0.192009E+03   0.136598E+02   0.172867E+01  -0.111933E+01   0.629841E-02   0.100140E+02   0.974221E+01   0.103635E+02   0.106674E+02   0.725505E+02
   0.188403E+03   0.113431E+02   0.190547E+01  -0.816168E+00   0.176677E-02   0.106890E+02   0.974221E+01   0.934583E+01   0.969935E+01   0.736695E+02
   0.182529E+03   0.133889E+02   0.196972E+01  -0.119191E+01   0.303499E-02   0.106890E+02   0.118056E+02   0.835232E+01   0.969935E+01   0.727106E+02
   0.196182E+03   0.154517E+02   0.168206E+01  -0.893020E+00   0.303499E-02   0.102235E+02   0.115430E+02   0.722587E+01   0.902780E+01   0.719102E+02
   0.183168E+03   0.179620E+02   0.209523E+01  -0.102914E+01   0.396387E-02   0.993783E+01   0.117165E+02   0.688853E+01   0.901864E+01   0.713848E+02
   0.207380E+03   0.206187E+02   0.201517E+01  -0.989844E+00   0.498388E-02   0.110495E+02   0.121050E+02   0.688853E+01   0.943840E+01   0.701145E+02
   0.207380E+03   0.206187E+02   0.202948E+01  -0.116179E+01   0.398198E-02   0.114737E+02   0.115877E+02   0.688853E+01   0.914876E+01   0.703925E+02
   0.221676E+03   0.165960E+02   0.226648E+01  -0.947633E+00   0.398198E-02   0.114343E+02   0.991320E+01   0.688853E+01   0.102991E+02   0.707307E+02
   0.208221E+03   0.185309E+02   0.240661E+01  -0.100154E+01   0.391596E-02   0.109425E+02   0.991320E+01   0.722542E+01   0.108544E+02   0.713142E+02
   0.220878E+03   0.186473E+02   0.245239E+01  -0.102680E+01   0.267544E-02   0.108101E+02   0.114432E+02   0.647788E+01   0.108544E+02   0.698929E+02
   0.225796E+03   0.218808E+02   0.251072E+01  -0.813867E+00   0.159616E-02   0.107300E+02   0.117176E+02   0.801313E+01   0.951425E+01   0.711265E+02
   0.224615E+03   0.181404E+02   0.240366E+01  -0.887004E+00   0.437117E-02   0.107300E+02   0.121569E+02   0.746713E+01   0.102467E+02   0.705388E+02
   0.235166E+03   0.181794E+02   0.234299E+01  -0.108668E+01   0.533161E-02   0.104935E+02   0.117932E+02   0.630779E+01   0.117201E+02   0.684042E+02
   0.241480E+03   0.154628E+02   0.232352E+01  -0.997928E+00   0.454468E-02   0.991774E+01   0.112350E+02   0.642238E+01   0.117201E+02   0.691960E+02
   0.230009E+03   0.131476E+02   0.224128E+01  -0.115292E+01   0.312967E-02   0.102379E+02   0.103152E+02   0.642238E+01   0.117201E+02   0.702331E+02
   0.236638E+03   0.699746E+01   0.233406E+01  -0.135150E+01   0.336413E-02   0.830091E+01   0.991715E+01   0.822354E+01   0.117201E+02   0.722746E+02
   0.225474E+03   0.699746E+01   0.224727E+01  -0.126180E+01   0.396609E-02   0.975137E+01   0.102993E+02   0.959717E+01   0.108321E+02   0.731318E+02
   0.219910E+03   0.560864E+01   0.197043E+01  -0.159441E+01   0.446250E-02   0.106751E+02   0.110390E+02   0.959717E+01   0.117474E+02   0.724446E+02
   0.221231E+03   0.704939E+01   0.233417E+01  -0.131100E+01   0.472998E-02   0.110775E+02   0.116456E+02   0.103479E+02   0.111048E+02   0.721844E+02
   0.209406E+03   0.710740E+01   0.230059E+01  -0.162555E+01   0.702474E-02   0.100565E+02   0.125837E+02   0.108787E+02   0.102457E+02   0.714026E+02
   0.211609E+03   0.517736E+01   0.209909E+01  -0.174928E+01   0.702474E-02   0.100565E+02   0.128339E+02   0.101720E+02   0.944428E+01   0.714193E+02
   0.210860E+03   0.602913E+01   0.215248E+01  -0.196849E+01   0.702474E-02   0.981800E+01   0.134386E+02   0.108826E+02   0.944428E+01   0.709307E+02
   0.204927E+03   0.602913E+01   0.218128E+01  -0.187134E+01   0.702474E-02   0.969865E+01   0.134386E+02   0.108826E+02   0.823389E+01   0.706232E+02
