a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02  0.169585E+03
  0.100000E+03  0.000000E+00  0.500000E-03  0.975932E+01  0.799930E+01  0.144004E+02  0.152304E+02  0.169205E+03
  0.100000E+03  0.000000E+00  0.500000E-03  0.908221E+01  0.799930E+01  0.129382E+02  0.139589E+02  0.169048E+03
  0.100000E+03  0.000000E+00  0.500000E-03  0.984446E+01  0.964707E+01  0.122462E+02  0.129770E+02  0.169189E+03
  0.100000E+03  0.000000E+00  0.500000E-03  0.984446E+01  0.995363E+01  0.117139E+02  0.121811E+02  0.168752E+03
  0.100000E+03  0.000000E+00  0.109105E-02  0.981146E+01  0.106587E+02  0.120822E+02  0.112753E+02  0.168511E+03
  0.100000E+03  0.000000E+00  0.109105E-02  0.924080E+01  0.103182E+02  0.137020E+02  0.112753E+02  0.168925E+03
  0.100000E+03 -0.155477E+01  0.109105E-02  0.112980E+02  0.102864E+02  0.140382E+02  0.111082E+02  0.168472E+03
  0.100000E+03 -0.155477E+01  0.109105E-02  0.108962E+02  0.104076E+02  0.112683E+02  0.114376E+02  0.168012E+03
  0.100000E+03 -0.155477E+01  0.109105E-02  0.120088E+02  0.106730E+02  0.111440E+02  0.133976E+02  0.168062E+03
  0.100000E+03  0.193960E+01  0.109105E-02  0.120088E+02  0.103031E+02  0.111440E+02  0.124186E+02  0.167892E+03
  0.100000E+03  0.193960E+01  0.600797E-03  0.139330E+02  0.109043E+02  0.113978E+02  0.124186E+02  0.168133E+03
  0.100000E+03  0.193960E+01  0.600797E-03  0.133672E+02  0.105610E+02  0.122333E+02  0.124186E+02  0.168937E+03
  0.100000E+03  0.193960E+01  0.600797E-03  0.133672E+02  0.103133E+02  0.136728E+02  0.137461E+02  0.169537E+03
  0.100000E+03  0.193960E+01  0.600797E-03  0.135942E+02  0.778349E+01  0.128737E+02  0.146471E+02  0.168803E+03
  0.100000E+03  0.193960E+01  0.600797E-03  0.135942E+02  0.753221E+01  0.128737E+02  0.159794E+02  0.168486E+03
  0.100000E+03  0.149671E+01  0.834132E-03  0.135115E+02  0.840093E+01  0.123669E+02  0.142467E+02  0.169810E+03
  0.983594E+02  0.149671E+01  0.834132E-03  0.127944E+02  0.661275E+01  0.130850E+02  0.154413E+02  0.171863E+03
  0.983594E+02  0.149671E+01  0.834132E-03  0.129272E+02  0.711460E+01  0.125407E+02  0.134694E+02  0.172281E+03
  0.976617E+02  0.149671E+01  0.834132E-03  0.119542E+02  0.704800E+01  0.127082E+02  0.134694E+02  0.172944E+03
  0.976617E+02  0.797456E+01  0.834132E-03  0.114329E+02  0.704800E+01  0.120491E+02  0.146418E+02  0.170095E+03
  0.976617E+02  0.636918E+01  0.834132E-03  0.103585E+02  0.771802E+01  0.140938E+02  0.129192E+02  0.172465E+03
  0.976617E+02  0.372002E+01  0.834132E-03  0.110186E+02  0.861698E+01  0.155386E+02  0.112260E+02  0.173348E+03
  0.976617E+02  0.372002E+01  0.834132E-03  0.104280E+02  0.879107E+01  0.152141E+02  0.112260E+02  0.173583E+03
  0.976617E+02  0.226973E+01  0.834132E-03  0.104831E+02  0.879107E+01  0.134058E+02  0.106727E+02  0.173533E+03
  0.976617E+02 -0.208304E+01  0.834132E-03  0.106872E+02  0.830679E+01  0.130077E+02  0.109734E+02  0.172911E+03
  0.976617E+02 -0.169137E+01  0.834132E-03  0.960734E+01  0.100922E+02  0.158774E+02  0.127362E+02  0.174184E+03
  0.976617E+02 -0.169137E+01  0.834132E-03  0.876911E+01  0.101466E+02  0.151218E+02  0.129942E+02  0.174218E+03
  0.976617E+02  0.381329E+01  0.834132E-03  0.954004E+01  0.978523E+01  0.151218E+02  0.132169E+02  0.174424E+03
  0.976617E+02  0.381329E+01  0.834132E-03  0.105398E+02  0.104473E+02  0.141332E+02  0.160746E+02  0.174203E+03
  0.976617E+02  0.381329E+01  0.834132E-03  0.118259E+02  0.104150E+02  0.145008E+02  0.163829E+02  0.173725E+03
  0.976617E+02  0.939439E+00  0.834132E-03  0.124719E+02  0.102341E+02  0.137029E+02  0.159821E+02  0.173937E+03
