X Y Z label profile_id header_val
919324.5309 6292423.6564 237.2981 NA 3 10.197699
919324.3693 6292424.9044 237.3225 NA 3 10.197699
919324.1923 6292426.4894 237.3398 NA 3 10.197699
919323.9993 6292428.1075 237.3382 NA 3 10.197699
919323.9203 6292428.7091 237.336 NA 3 10.197699
919323.7888 6292429.762 237.3316 NA 3 10.197699
919323.6037 6292431.364 237.3539 NA 3 10.197699
919323.4082 6292432.9875 237.37 NA 3 10.197699
919323.2158 6292434.6046 237.3994 NA 3 10.197699
919323.109 6292435.4242 237.4808 NA 3 10.197699
919322.9928 6292436.3857 237.5771 NA 3 10.197699
919322.6795 6292438.9773 237.8377 NA 3 10.197699
919322.4165 6292439.5115 237.8543 NA 3 10.197699
919321.6187 6292441.1317 237.9095 NA 3 10.197699
919321.4461 6292441.4823 237.9256 NA 3 10.197699
919321.3815 6292441.6134 237.9355 NA 3 10.197699
919321.3139 6292441.7507 237.9592 NA 3 10.197699
919321.2309 6292441.9191 237.9921 NA 3 10.197699
919321.168 6292442.0468 238.0135 NA 3 10.197699
919321.1311 6292442.1215 238.0481 NA 3 10.197699
919324.8062 6292393.2714 238.0262 NA 4 15.296549
919324.6813 6292393.3695 238.0073 NA 4 15.296549
919324.3638 6292393.6197 237.9763 NA 4 15.296549
919324.1437 6292393.7929 237.9496 NA 4 15.296549
919324.0474 6292393.8681 237.9284 NA 4 15.296549
919323.8977 6292393.9841 237.8889 NA 4 15.296549
919323.7417 6292394.1064 237.8605 NA 4 15.296549
919323.5297 6292394.2732 237.8326 NA 4 15.296549
919323.3509 6292394.4141 237.8186 NA 4 15.296549
919323.0574 6292396.6945 237.6942 NA 4 15.296549
919322.6724 6292399.6861 237.5319 NA 4 15.296549
919322.3728 6292402.0134 237.4186 NA 4 15.296549
919322.2489 6292402.9755 237.3682 NA 4 15.296549
919322.1935 6292403.4012 237.3459 NA 4 15.296549
919322.0464 6292404.5487 237.3254 NA 4 15.296549
919321.9761 6292405.0331 237.3178 NA 4 15.296549
919321.7952 6292406.5894 237.2753 NA 4 15.296549
919321.6734 6292407.4464 237.2753 NA 4 15.296549
919321.5584 6292408.2619 237.276 NA 4 15.296549
919321.3677 6292409.8386 237.3106 NA 4 15.296549
919321.2088 6292411.0558 237.3211 NA 4 15.296549
919321.1496 6292411.4721 237.3245 NA 4 15.296549
919320.9663 6292413.0332 237.324 NA 4 15.296549
919320.7419 6292414.6798 237.3194 NA 4 15.296549
919320.6448 6292415.4372 237.3152 NA 4 15.296549
919320.5102 6292416.3417 237.3078 NA 4 15.296549
919320.3317 6292417.8929 237.304 NA 4 15.296549
919320.1534 6292419.4438 237.2888 NA 4 15.296549
919319.9686 6292420.69 237.2772 NA 4 15.296549
919319.9144 6292421.1207 237.272 NA 4 15.296549
919319.8607 6292421.5282 237.28 NA 4 15.296549
919319.6836 6292422.7807 237.304 NA 4 15.296549
919319.5052 6292424.3317 237.321 NA 4 15.296549
919319.303 6292425.9322 237.3201 NA 4 15.296549
919319.2158 6292426.5375 237.3184 NA 4 15.296549
919319.0744 6292427.5874 237.3147 NA 4 15.296549
919318.8839 6292429.1637 237.338 NA 4 15.296549
919318.6777 6292430.7724 237.356 NA 4 15.296549
919318.4762 6292432.3715 237.3865 NA 4 15.296549
919318.359 6292433.1949 237.4672 NA 4 15.296549
919318.2362 6292434.1482 237.5619 NA 4 15.296549
919317.9052 6292436.7177 237.8186 NA 4 15.296549
919317.5949 6292437.3504 237.835 NA 4 15.296549
919316.654 6292439.2694 237.8923 NA 4 15.296549
919316.4504 6292439.6847 237.9108 NA 4 15.296549
919316.3743 6292439.8399 237.9237 NA 4 15.296549
919316.2949 6292440.0016 237.957 NA 4 15.296549
919316.1978 6292440.1996 238.0035 NA 4 15.296549
919316.124 6292440.35 238.0336 NA 4 15.296549
919316.0826 6292440.434 238.0841 NA 4 15.296549
