a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101109E+03   0.683160E-03   0.716433E-03   0.616791E-03   0.104544E-02   0.429012E-03   0.129377E-02   0.314177E-02   0.529245E-03   0.180612E+03   0.000000E+00   0.000000E+00   0.180612E+03  -0.361224E+03
   0.101109E+03   0.683160E-03   0.716433E-03   0.616791E-03   0.990516E-03   0.429012E-03   0.129377E-02   0.314177E-02   0.529245E-03   0.180692E+03   0.000000E+00   0.000000E+00   0.180692E+03  -0.361384E+03
   0.101109E+03   0.683160E-03   0.632607E-03   0.616791E-03   0.990516E-03   0.158738E-03   0.129377E-02   0.314177E-02   0.529245E-03   0.180481E+03   0.000000E+00   0.000000E+00   0.180481E+03  -0.360962E+03
   0.101109E+03   0.189153E-03   0.632607E-03   0.616791E-03   0.954641E-03   0.158738E-03   0.156641E-02   0.314177E-02   0.529245E-03   0.180083E+03   0.000000E+00   0.000000E+00   0.180083E+03  -0.360166E+03
   0.101109E+03   0.152594E-02   0.632607E-03   0.616791E-03   0.954641E-03   0.158738E-03   0.156641E-02   0.124994E-03   0.529245E-03   0.182879E+03   0.000000E+00   0.000000E+00   0.182879E+03  -0.365758E+03
   0.102676E+03   0.152594E-02   0.429314E-03   0.480715E-03   0.954641E-03   0.396727E-03   0.511596E-02   0.124994E-03   0.529245E-03   0.174274E+03   0.000000E+00   0.000000E+00   0.174274E+03  -0.348548E+03
   0.102676E+03   0.152594E-02   0.429314E-03   0.265955E-02   0.112648E-02   0.396727E-03   0.242886E-02   0.124994E-03   0.529245E-03   0.175596E+03   0.000000E+00   0.000000E+00   0.175596E+03  -0.351192E+03
   0.102676E+03   0.152594E-02   0.429314E-03   0.279270E-02   0.112648E-02   0.396727E-03   0.242886E-02   0.124994E-03   0.529245E-03   0.175437E+03   0.000000E+00   0.000000E+00   0.175437E+03  -0.350874E+03
   0.102676E+03   0.107624E-02   0.429314E-03   0.262728E-02   0.112648E-02   0.880651E-03   0.239948E-02   0.124994E-03   0.112213E-03   0.176154E+03   0.000000E+00   0.000000E+00   0.176154E+03  -0.352308E+03
   0.102676E+03   0.122627E-02   0.429314E-03   0.262728E-02   0.112648E-02   0.934677E-03   0.239948E-02   0.538015E-03   0.477749E-03   0.176307E+03   0.000000E+00   0.000000E+00   0.176307E+03  -0.352614E+03
   0.102841E+03   0.122627E-02   0.429314E-03   0.262728E-02   0.112648E-02   0.934677E-03   0.215587E-02   0.538015E-03   0.477749E-03   0.176214E+03   0.000000E+00   0.000000E+00   0.176214E+03  -0.352428E+03
   0.100145E+03   0.913483E-03   0.429314E-03   0.262728E-02   0.112648E-02   0.888747E-03   0.215587E-02   0.538015E-03   0.477749E-03   0.180333E+03   0.000000E+00   0.000000E+00   0.180333E+03  -0.360666E+03
   0.100145E+03   0.913483E-03   0.429314E-03   0.282901E-03   0.112648E-02   0.334613E-03   0.215587E-02   0.538015E-03   0.488671E-03   0.183811E+03   0.000000E+00   0.000000E+00   0.183811E+03  -0.367622E+03
   0.100145E+03   0.913483E-03   0.429314E-03   0.282901E-03   0.112648E-02   0.135261E-02   0.215587E-02   0.538015E-03   0.488671E-03   0.182476E+03   0.000000E+00   0.000000E+00   0.182476E+03  -0.364952E+03
   0.100145E+03   0.168327E-02   0.600637E-04   0.718199E-03   0.112648E-02   0.135261E-02   0.215587E-02   0.141146E-03   0.488671E-03   0.180987E+03   0.000000E+00   0.000000E+00   0.180987E+03  -0.361974E+03
   0.100145E+03   0.168327E-02   0.600637E-04   0.718199E-03   0.112648E-02   0.135261E-02   0.277261E-02   0.163206E-02   0.488671E-03   0.177818E+03   0.000000E+00   0.000000E+00   0.177818E+03  -0.355636E+03
   0.100145E+03   0.116791E-02   0.600637E-04   0.718199E-03   0.112648E-02   0.692524E-03   0.156013E-02   0.163206E-02   0.488671E-03   0.181959E+03   0.000000E+00   0.000000E+00   0.181959E+03  -0.363918E+03
   0.100145E+03   0.116791E-02   0.600637E-04   0.718199E-03   0.112648E-02   0.692524E-03   0.156013E-02   0.163206E-02   0.488671E-03   0.181959E+03   0.000000E+00   0.000000E+00   0.181959E+03  -0.363918E+03
   0.100145E+03   0.116791E-02   0.600637E-04   0.718199E-03   0.112648E-02   0.692524E-03   0.156013E-02   0.163206E-02   0.488671E-03   0.181959E+03   0.000000E+00   0.000000E+00   0.181959E+03  -0.363918E+03
   0.999007E+02   0.159564E-03   0.600637E-04   0.718199E-03   0.112648E-02   0.692524E-03   0.156013E-02   0.163206E-02   0.488671E-03   0.183264E+03   0.000000E+00   0.000000E+00   0.183264E+03  -0.366528E+03
   0.999007E+02   0.159564E-03   0.600637E-04   0.718199E-03   0.305204E-03   0.980067E-03   0.156013E-02   0.163206E-02   0.488671E-03   0.182685E+03   0.000000E+00   0.000000E+00   0.182685E+03  -0.365370E+03
   0.999007E+02   0.159564E-03   0.600637E-04   0.718199E-03   0.305204E-03   0.980067E-03   0.156013E-02   0.315606E-02   0.488671E-03   0.180420E+03   0.000000E+00   0.000000E+00   0.180420E+03  -0.360840E+03
   0.999007E+02   0.159564E-03   0.600637E-04   0.718199E-03   0.305204E-03   0.980067E-03   0.131235E-02   0.313011E-02   0.488671E-03   0.180900E+03   0.000000E+00   0.000000E+00   0.180900E+03  -0.361800E+03
   0.999007E+02   0.159564E-03   0.600637E-04   0.718199E-03   0.305204E-03   0.980067E-03   0.131235E-02   0.731145E-02   0.398686E-03   0.177772E+03   0.000000E+00   0.000000E+00   0.177772E+03  -0.355544E+03
   0.999007E+02   0.929637E-04   0.600637E-04   0.687614E-03   0.125482E-02   0.980067E-03   0.131235E-02   0.909787E-03   0.398686E-03   0.184638E+03   0.000000E+00   0.000000E+00   0.184638E+03  -0.369276E+03
   0.999007E+02   0.929637E-04   0.600637E-04   0.687614E-03   0.342134E-02   0.980067E-03   0.713028E-03   0.909787E-03   0.398686E-03   0.182499E+03   0.000000E+00   0.000000E+00   0.182499E+03  -0.364998E+03
   0.999007E+02   0.521480E-03   0.374587E-03   0.469413E-03   0.342134E-02   0.980067E-03   0.713028E-03   0.909787E-03   0.398686E-03   0.182834E+03   0.000000E+00   0.000000E+00   0.182834E+03  -0.365668E+03
   0.999007E+02   0.521480E-03   0.374587E-03   0.469413E-03   0.914067E-03   0.102407E-04   0.109946E-02   0.909787E-03   0.398686E-03   0.186016E+03   0.000000E+00   0.000000E+00   0.186016E+03  -0.372032E+03
   0.999007E+02   0.521480E-03   0.374587E-03   0.469413E-03   0.914067E-03   0.102407E-04   0.109946E-02   0.112105E-02   0.398686E-03   0.185567E+03   0.000000E+00   0.000000E+00   0.185567E+03  -0.371134E+03
   0.999007E+02   0.521480E-03   0.374587E-03   0.469413E-03   0.914067E-03   0.102407E-04   0.109946E-02   0.109156E-02   0.398686E-03   0.185629E+03   0.000000E+00   0.000000E+00   0.185629E+03  -0.371258E+03
   0.999475E+02   0.521480E-03   0.536682E-03   0.551073E-03   0.914067E-03   0.953421E-03   0.109946E-02   0.109156E-02   0.398686E-03   0.185387E+03   0.000000E+00   0.000000E+00   0.185387E+03  -0.370774E+03
   0.100330E+03   0.521480E-03   0.536682E-03   0.551073E-03   0.914067E-03   0.953421E-03   0.109946E-02   0.109156E-02   0.398686E-03   0.185348E+03   0.000000E+00   0.000000E+00   0.185348E+03  -0.370696E+03
   0.100330E+03   0.521480E-03   0.536682E-03   0.551073E-03   0.479060E-03   0.953421E-03   0.109946E-02   0.902088E-03   0.398686E-03   0.185814E+03   0.000000E+00   0.000000E+00   0.185814E+03  -0.371628E+03
   0.100330E+03   0.521480E-03   0.536682E-03   0.551073E-03   0.479060E-03   0.953421E-03   0.606858E-03   0.902088E-03   0.654085E-03   0.185852E+03   0.000000E+00   0.000000E+00   0.185852E+03  -0.371704E+03
   0.100330E+03   0.521480E-03   0.679805E-03   0.551073E-03   0.887154E-03   0.953421E-03   0.606858E-03   0.435610E-03   0.538751E-03   0.186631E+03   0.000000E+00   0.000000E+00   0.186631E+03  -0.373262E+03
   0.100330E+03   0.521480E-03   0.679805E-03   0.551073E-03   0.887154E-03   0.953421E-03   0.606858E-03   0.435610E-03   0.538751E-03   0.186631E+03   0.000000E+00   0.000000E+00   0.186631E+03  -0.373262E+03
   0.100330E+03   0.521480E-03   0.679805E-03   0.551073E-03   0.887154E-03   0.640260E-03   0.606858E-03   0.435610E-03   0.776395E-03   0.186615E+03   0.000000E+00   0.000000E+00   0.186615E+03  -0.373230E+03
   0.100330E+03   0.521480E-03   0.679805E-03   0.176878E-03   0.887154E-03   0.848060E-03   0.606858E-03   0.435610E-03   0.776395E-03   0.185551E+03   0.000000E+00   0.000000E+00   0.185551E+03  -0.371102E+03
   0.100330E+03   0.521480E-03   0.679805E-03   0.176878E-03   0.887154E-03   0.848060E-03   0.606858E-03   0.435610E-03   0.776395E-03   0.185551E+03   0.000000E+00   0.000000E+00   0.185551E+03  -0.371102E+03
   0.100330E+03   0.521480E-03   0.200274E-03   0.176878E-03   0.887154E-03   0.848060E-03   0.606858E-03   0.435610E-03   0.776395E-03   0.185860E+03   0.000000E+00   0.000000E+00   0.185860E+03  -0.371720E+03
   0.100330E+03   0.521480E-03   0.200274E-03   0.176878E-03   0.188475E-03   0.848060E-03   0.528641E-03   0.435610E-03   0.776395E-03   0.184848E+03   0.000000E+00   0.000000E+00   0.184848E+03  -0.369696E+03
   0.997852E+02   0.521480E-03   0.200274E-03   0.176878E-03   0.188475E-03   0.848060E-03   0.528641E-03   0.435610E-03   0.776395E-03   0.185171E+03   0.000000E+00   0.000000E+00   0.185171E+03  -0.370342E+03
   0.999080E+02   0.521480E-03   0.420270E-04   0.176878E-03   0.142992E-03   0.848060E-03   0.528641E-03   0.435610E-03   0.776395E-03   0.184875E+03   0.000000E+00   0.000000E+00   0.184875E+03  -0.369750E+03
   0.999080E+02   0.228924E-03   0.420270E-04   0.176878E-03   0.142992E-03   0.848060E-03   0.528641E-03   0.435610E-03   0.776395E-03   0.184945E+03   0.000000E+00   0.000000E+00   0.184945E+03  -0.369890E+03
   0.999080E+02   0.228924E-03   0.420270E-04   0.176878E-03   0.132082E-03   0.848060E-03   0.528641E-03   0.435610E-03   0.776395E-03   0.184907E+03   0.000000E+00   0.000000E+00   0.184907E+03  -0.369814E+03
   0.999080E+02   0.158771E-02   0.420270E-04   0.176878E-03   0.132082E-03   0.848060E-03   0.528641E-03   0.109214E-02   0.776395E-03   0.181418E+03   0.000000E+00   0.000000E+00   0.181418E+03  -0.362836E+03
   0.994786E+02   0.158771E-02   0.420270E-04   0.176878E-03   0.440725E-02   0.848060E-03   0.528641E-03   0.109214E-02   0.179178E-04   0.178916E+03   0.000000E+00   0.000000E+00   0.178916E+03  -0.357832E+03
   0.100116E+03   0.440766E-03   0.420270E-04   0.500553E-03   0.440725E-02   0.848060E-03   0.528641E-03   0.109214E-02   0.179178E-04   0.181727E+03   0.000000E+00   0.000000E+00   0.181727E+03  -0.363454E+03
   0.100116E+03   0.440766E-03   0.420270E-04   0.500553E-03   0.440725E-02   0.848060E-03   0.528641E-03   0.109214E-02   0.179178E-04   0.181727E+03   0.000000E+00   0.000000E+00   0.181727E+03  -0.363454E+03
   0.100116E+03   0.534969E-03   0.420270E-04   0.500553E-03   0.376749E-02   0.848060E-03   0.528641E-03   0.109214E-02   0.179178E-04   0.182216E+03   0.000000E+00   0.000000E+00   0.182216E+03  -0.364432E+03
   0.100116E+03   0.534969E-03   0.420270E-04   0.500553E-03   0.376749E-02   0.848060E-03   0.528641E-03   0.109214E-02   0.286992E-03   0.182192E+03   0.000000E+00   0.000000E+00   0.182192E+03  -0.364384E+03
   0.100116E+03   0.534969E-03   0.420270E-04   0.500553E-03   0.376749E-02   0.105495E-02   0.528641E-03   0.109214E-02   0.286992E-03   0.181809E+03   0.000000E+00   0.000000E+00   0.181809E+03  -0.363618E+03
   0.991626E+02   0.534969E-03   0.420270E-04   0.500553E-03   0.126214E-02   0.181304E-02   0.528641E-03   0.109214E-02   0.302902E-03   0.183324E+03   0.000000E+00   0.000000E+00   0.183324E+03  -0.366648E+03
   0.991626E+02   0.836840E-03   0.420270E-04   0.500553E-03   0.126214E-02   0.181304E-02   0.528641E-03   0.109214E-02   0.302902E-03   0.182807E+03   0.000000E+00   0.000000E+00   0.182807E+03  -0.365614E+03
   0.991626E+02   0.836840E-03   0.420270E-04   0.500553E-03   0.154840E-03   0.142852E-02   0.248906E-04   0.109214E-02   0.302902E-03   0.181652E+03   0.000000E+00   0.000000E+00   0.181652E+03  -0.363304E+03
   0.991626E+02   0.776786E-03   0.420270E-04   0.500553E-03   0.154840E-03   0.154180E-02   0.248906E-04   0.437503E-02   0.302902E-03   0.177077E+03   0.000000E+00   0.000000E+00   0.177077E+03  -0.354154E+03
   0.991626E+02   0.776786E-03   0.420270E-04   0.464725E-03   0.154840E-03   0.763918E-03   0.248906E-04   0.502714E-02   0.302902E-03   0.177813E+03   0.000000E+00   0.000000E+00   0.177813E+03  -0.355626E+03
   0.990003E+02   0.776786E-03   0.420270E-04   0.464725E-03   0.154840E-03   0.763918E-03   0.248906E-04   0.502714E-02   0.302902E-03   0.177507E+03   0.000000E+00   0.000000E+00   0.177507E+03  -0.355014E+03
   0.990003E+02   0.776786E-03   0.420270E-04   0.464725E-03   0.154840E-03   0.763918E-03   0.119845E-02   0.502714E-02   0.302902E-03   0.177846E+03   0.000000E+00   0.000000E+00   0.177846E+03  -0.355692E+03
   0.100421E+03   0.776786E-03   0.420270E-04   0.773875E-04   0.154840E-03   0.763918E-03   0.119845E-02   0.217544E-02   0.302902E-03   0.180790E+03   0.000000E+00   0.000000E+00   0.180790E+03  -0.361580E+03
   0.996838E+02   0.776786E-03   0.146690E-03   0.215023E-02   0.154840E-03   0.763918E-03   0.119845E-02   0.217544E-02   0.302902E-03   0.179228E+03   0.000000E+00   0.000000E+00   0.179228E+03  -0.358456E+03
   0.996838E+02   0.776786E-03   0.118592E-02   0.215023E-02   0.154840E-03   0.763918E-03   0.119845E-02   0.143220E-02   0.302902E-03   0.179120E+03   0.000000E+00   0.000000E+00   0.179120E+03  -0.358240E+03
   0.996838E+02   0.185158E-03   0.118592E-02   0.993672E-03   0.243964E-04   0.578080E-03   0.479322E-03   0.439986E-03   0.302902E-03   0.184187E+03   0.000000E+00   0.000000E+00   0.184187E+03  -0.368374E+03
   0.996838E+02   0.393529E-03   0.118592E-02   0.993672E-03   0.590396E-03   0.578080E-03   0.479322E-03   0.439986E-03   0.302902E-03   0.185751E+03   0.000000E+00   0.000000E+00   0.185751E+03  -0.371502E+03
   0.996838E+02   0.393529E-03   0.118592E-02   0.993672E-03   0.653045E-03   0.578080E-03   0.479322E-03   0.439986E-03   0.302902E-03   0.185769E+03   0.000000E+00   0.000000E+00   0.185769E+03  -0.371538E+03
   0.996838E+02   0.393529E-03   0.118592E-02   0.993672E-03   0.653045E-03   0.578080E-03   0.479322E-03   0.439986E-03   0.306631E-03   0.185766E+03   0.000000E+00   0.000000E+00   0.185766E+03  -0.371532E+03
   0.996838E+02   0.393529E-03   0.438679E-03   0.887114E-03   0.653045E-03   0.578080E-03   0.479322E-03   0.439986E-03   0.306631E-03   0.187457E+03   0.000000E+00   0.000000E+00   0.187457E+03  -0.374914E+03
   0.100001E+03   0.393529E-03   0.586010E-03   0.887114E-03   0.653045E-03   0.578080E-03   0.479322E-03   0.517584E-03   0.306631E-03   0.187413E+03   0.000000E+00   0.000000E+00   0.187413E+03  -0.374826E+03
   0.100001E+03   0.393529E-03   0.586010E-03   0.184506E-02   0.653045E-03   0.578080E-03   0.479322E-03   0.517584E-03   0.306631E-03   0.185582E+03   0.000000E+00   0.000000E+00   0.185582E+03  -0.371164E+03
   0.100580E+03   0.393529E-03   0.681747E-03   0.184506E-02   0.653045E-03   0.578080E-03   0.479322E-03   0.517584E-03   0.306631E-03   0.185345E+03   0.000000E+00   0.000000E+00   0.185345E+03  -0.370690E+03
   0.100580E+03   0.393529E-03   0.681747E-03   0.184506E-02   0.653045E-03   0.578080E-03   0.479322E-03   0.517584E-03   0.306631E-03   0.185345E+03   0.000000E+00   0.000000E+00   0.185345E+03  -0.370690E+03
   0.100580E+03   0.393529E-03   0.681747E-03   0.184506E-02   0.653045E-03   0.578080E-03   0.479322E-03   0.188189E-03   0.344034E-03   0.185413E+03   0.000000E+00   0.000000E+00   0.185413E+03  -0.370826E+03
   0.100580E+03   0.393529E-03   0.681747E-03   0.184506E-02   0.653045E-03   0.578080E-03   0.479322E-03   0.188189E-03   0.344034E-03   0.185413E+03   0.000000E+00   0.000000E+00   0.185413E+03  -0.370826E+03
   0.100580E+03   0.393529E-03   0.681747E-03   0.184506E-02   0.653045E-03   0.578080E-03   0.479322E-03   0.188189E-03   0.344034E-03   0.185413E+03   0.000000E+00   0.000000E+00   0.185413E+03  -0.370826E+03
   0.100580E+03   0.393529E-03   0.681747E-03   0.200191E-02   0.653045E-03   0.578080E-03   0.479322E-03   0.188189E-03   0.344034E-03   0.185152E+03   0.000000E+00   0.000000E+00   0.185152E+03  -0.370304E+03
   0.100580E+03   0.393529E-03   0.678648E-04   0.200191E-02   0.653045E-03   0.578080E-03   0.573500E-03   0.188189E-03   0.344034E-03   0.185399E+03   0.000000E+00   0.000000E+00   0.185399E+03  -0.370798E+03
   0.100254E+03   0.987126E-03   0.678648E-04   0.173245E-02   0.653045E-03   0.578080E-03   0.573500E-03   0.188189E-03   0.344034E-03   0.185011E+03   0.000000E+00   0.000000E+00   0.185011E+03  -0.370022E+03
   0.100254E+03   0.987126E-03   0.678648E-04   0.173245E-02   0.653045E-03   0.578080E-03   0.573500E-03   0.188189E-03   0.897776E-03   0.183898E+03   0.000000E+00   0.000000E+00   0.183898E+03  -0.367796E+03
   0.100254E+03   0.987126E-03   0.678648E-04   0.173245E-02   0.653045E-03   0.578080E-03   0.573500E-03   0.188189E-03   0.897776E-03   0.183898E+03   0.000000E+00   0.000000E+00   0.183898E+03  -0.367796E+03
   0.100254E+03   0.119239E-02   0.678648E-04   0.173245E-02   0.119883E-02   0.578080E-03   0.573500E-03   0.188189E-03   0.131417E-02   0.181832E+03   0.000000E+00   0.000000E+00   0.181832E+03  -0.363664E+03
   0.100254E+03   0.119239E-02   0.678648E-04   0.739282E-04   0.119883E-02   0.578080E-03   0.573500E-03   0.188189E-03   0.131417E-02   0.182798E+03   0.000000E+00   0.000000E+00   0.182798E+03  -0.365596E+03
   0.100254E+03   0.119239E-02   0.678648E-04   0.739282E-04   0.119883E-02   0.578080E-03   0.573500E-03   0.188189E-03   0.626839E-03   0.184422E+03   0.000000E+00   0.000000E+00   0.184422E+03  -0.368844E+03
   0.100254E+03   0.119239E-02   0.678648E-04   0.739282E-04   0.119883E-02   0.578080E-03   0.242021E-03   0.188189E-03   0.626839E-03   0.183554E+03   0.000000E+00   0.000000E+00   0.183554E+03  -0.367108E+03
   0.100254E+03   0.119239E-02   0.426063E-03   0.739282E-04   0.119883E-02   0.578080E-03   0.380513E-03   0.188189E-03   0.626839E-03   0.184256E+03   0.000000E+00   0.000000E+00   0.184256E+03  -0.368512E+03
   0.100254E+03   0.590382E-03   0.426063E-03   0.739282E-04   0.119883E-02   0.578080E-03   0.380513E-03   0.188189E-03   0.389468E-03   0.185972E+03   0.000000E+00   0.000000E+00   0.185972E+03  -0.371944E+03
   0.100254E+03   0.590382E-03   0.426063E-03   0.739282E-04   0.154859E-02   0.578080E-03   0.380513E-03   0.610543E-03   0.953486E-04   0.185251E+03   0.000000E+00   0.000000E+00   0.185251E+03  -0.370502E+03
   0.101411E+03   0.590382E-03   0.426063E-03   0.739282E-04   0.154859E-02   0.578080E-03   0.157479E-02   0.610543E-03   0.953486E-04   0.181748E+03   0.000000E+00   0.000000E+00   0.181748E+03  -0.363496E+03
   0.101411E+03   0.590382E-03   0.426063E-03   0.739282E-04   0.154859E-02   0.578080E-03   0.157479E-02   0.610543E-03   0.953486E-04   0.181748E+03   0.000000E+00   0.000000E+00   0.181748E+03  -0.363496E+03
   0.101411E+03   0.260484E-03   0.142518E-03   0.739282E-04   0.154859E-02   0.792086E-03   0.437022E-03   0.610543E-03   0.176648E-03   0.181684E+03   0.000000E+00   0.000000E+00   0.181684E+03  -0.363368E+03
   0.101411E+03   0.260484E-03   0.142518E-03   0.869971E-03   0.154859E-02   0.583775E-03   0.437022E-03   0.610543E-03   0.176648E-03   0.183885E+03   0.000000E+00   0.000000E+00   0.183885E+03  -0.367770E+03
   0.101411E+03   0.260484E-03   0.142518E-03   0.869971E-03   0.851848E-03   0.583775E-03   0.437022E-03   0.610543E-03   0.209654E-03   0.184967E+03   0.000000E+00   0.000000E+00   0.184967E+03  -0.369934E+03
   0.997203E+02   0.705525E-04   0.142518E-03   0.869971E-03   0.851848E-03   0.826947E-03   0.437022E-03   0.931927E-03   0.209654E-03   0.186044E+03   0.000000E+00   0.000000E+00   0.186044E+03  -0.372088E+03
   0.994216E+02   0.705525E-04   0.142518E-03   0.147007E-02   0.851848E-03   0.826947E-03   0.437022E-03   0.931927E-03   0.209654E-03   0.184492E+03   0.000000E+00   0.000000E+00   0.184492E+03  -0.368984E+03
   0.994216E+02   0.705525E-04   0.142518E-03   0.147007E-02   0.851848E-03   0.575246E-03   0.579779E-03   0.931927E-03   0.209654E-03   0.184866E+03   0.000000E+00   0.000000E+00   0.184866E+03  -0.369732E+03
   0.101533E+03   0.705525E-04   0.703355E-03   0.147007E-02   0.341918E-03   0.575246E-03   0.579779E-03   0.139421E-02   0.209654E-03   0.181597E+03   0.000000E+00   0.000000E+00   0.181597E+03  -0.363194E+03
   0.101533E+03   0.705525E-04   0.703355E-03   0.158433E-02   0.340447E-02   0.575246E-03   0.579779E-03   0.139421E-02   0.209654E-03   0.178435E+03   0.000000E+00   0.000000E+00   0.178435E+03  -0.356870E+03
   0.101724E+03   0.705525E-04   0.703355E-03   0.158433E-02   0.340447E-02   0.575246E-03   0.579779E-03   0.102387E-02   0.209654E-03   0.178710E+03   0.000000E+00   0.000000E+00   0.178710E+03  -0.357420E+03
   0.101724E+03   0.705525E-04   0.703355E-03   0.621549E-03   0.123538E-02   0.575246E-03   0.579779E-03   0.102387E-02   0.209654E-03   0.182788E+03   0.000000E+00   0.000000E+00   0.182788E+03  -0.365576E+03
   0.101724E+03   0.705525E-04   0.703355E-03   0.621549E-03   0.123538E-02   0.575246E-03   0.579779E-03   0.130795E-02   0.209654E-03   0.182169E+03   0.000000E+00   0.000000E+00   0.182169E+03  -0.364338E+03
   0.101717E+03   0.705525E-04   0.164043E-03   0.621549E-03   0.952258E-03   0.575246E-03   0.579779E-03   0.130795E-02   0.209654E-03   0.182270E+03   0.000000E+00   0.000000E+00   0.182270E+03  -0.364540E+03
   0.101717E+03   0.705525E-04   0.164043E-03   0.451930E-03   0.924649E-03   0.575246E-03   0.579779E-03   0.130795E-02   0.589926E-03   0.181617E+03   0.000000E+00   0.000000E+00   0.181617E+03  -0.363234E+03
   0.101717E+03   0.705525E-04   0.164043E-03   0.811031E-03   0.924649E-03   0.575246E-03   0.579779E-03   0.130795E-02   0.961810E-04   0.182289E+03   0.000000E+00   0.000000E+00   0.182289E+03  -0.364578E+03
   0.101717E+03   0.705525E-04   0.164043E-03   0.199735E-02   0.924649E-03   0.682664E-03   0.579779E-03   0.811558E-03   0.961810E-04   0.181570E+03   0.000000E+00   0.000000E+00   0.181570E+03  -0.363140E+03
   0.101717E+03   0.705525E-04   0.234433E-03   0.199735E-02   0.924649E-03   0.682664E-03   0.579779E-03   0.690725E-04   0.961810E-04   0.182068E+03   0.000000E+00   0.000000E+00   0.182068E+03  -0.364136E+03
