Date;Heure;Ain;Lagnieu
08/12/2010;00:00:00;702.059;1283.459
08/12/2010;01:00:00;653.235;1278.919
08/12/2010;02:00:00;599.274;1279.249
08/12/2010;03:00:00;549.642;1285.341
08/12/2010;04:00:00;510.935;1299.682
08/12/2010;05:00:00;485.298;1308.009
08/12/2010;06:00:00;470.002;1313.035
08/12/2010;07:00:00;460.405;1332.578
08/12/2010;08:00:00;451.343;1343.028
08/12/2010;09:00:00;444.770;1349.598
08/12/2010;10:00:00;431.283;1350.836
08/12/2010;11:00:00;415.514;1345.987
08/12/2010;12:00:00;401.114;1336.248
08/12/2010;13:00:00;389.913;1321.389
08/12/2010;14:00:00;380.676;1293.529
08/12/2010;15:00:00;375.018;1242.197
08/12/2010;16:00:00;372.282;1182.515
08/12/2010;17:00:00;373.615;1151.515
08/12/2010;18:00:00;378.118;1143.991
08/12/2010;19:00:00;385.105;1154.000
08/12/2010;20:00:00;391.175;1180.204
08/12/2010;21:00:00;392.303;1201.901
08/12/2010;22:00:00;391.595;1210.652
08/12/2010;23:00:00;389.103;1220.828
