IDTRANS;DIST;pk;ALTI_MOY
1;47,5;61900;197,0119
2;52,5;61895;197,0738
8;82,5;61865;196,9651
9;87,5;61860;196,9481
10;92,5;61855;196,9203
11;97,5;61850;196,9582
12;102,5;61845;196,9516
13;107,5;61840;196,9283
14;112,5;61835;196,9508
15;117,5;61830;196,9476
16;122,5;61825;196,9332
17;127,5;61820;196,9567
18;132,5;61815;196,9648
19;137,5;61810;196,9661
20;142,5;61805;196,9089
21;147,5;61800;196,8892
22;152,5;61795;196,9834
23;157,5;61790;196,9448
24;162,5;61785;196,9040
25;167,5;61780;196,9425
26;172,5;61775;196,9228
27;177,5;61770;196,9533
28;182,5;61765;196,9533
29;187,5;61760;196,9247
30;192,5;61755;196,8990
31;197,5;61750;196,8774
36;222,5;61725;196,9556
37;227,5;61720;196,9224
38;232,5;61715;196,9414
39;237,5;61710;196,9354
40;242,5;61705;196,9344
41;247,5;61700;196,9375
42;252,5;61695;196,9285
43;257,5;61690;196,9174
44;262,5;61685;196,9405
45;267,5;61680;196,9429
46;272,5;61675;196,9328
47;277,5;61670;196,9229
48;282,5;61665;196,9348
49;287,5;61660;196,9273
50;292,5;61655;196,9297
51;297,5;61650;196,9240
52;302,5;61645;196,9141
53;307,5;61640;196,9111
54;312,5;61635;196,8942
55;317,5;61630;196,9115
56;322,5;61625;196,9044
57;327,5;61620;196,8679
58;332,5;61615;196,8795
59;337,5;61610;196,8789
60;342,5;61605;196,8976
61;347,5;61600;196,8872
62;352,5;61595;196,8931
63;357,5;61590;196,8839
64;362,5;61585;196,8766
65;367,5;61580;196,8983
66;372,5;61575;196,8887
67;377,5;61570;196,8880
68;382,5;61565;196,8797
69;387,5;61560;196,9061
70;392,5;61555;196,9006
71;397,5;61550;196,9009
72;402,5;61545;196,9093
73;407,5;61540;196,9368
74;412,5;61535;196,9077
75;417,5;61530;196,9053
76;422,5;61525;196,9214
77;427,5;61520;196,9115
78;432,5;61515;196,9014
79;437,5;61510;196,8901
80;442,5;61505;196,9010
81;447,5;61500;196,9076
82;452,5;61495;196,8906
83;457,5;61490;196,8978
84;462,5;61485;196,9160
85;467,5;61480;196,8958
86;472,5;61475;196,9027
87;477,5;61470;196,8884
88;482,5;61465;196,8622
89;487,5;61460;196,8461
90;492,5;61455;196,8383
91;497,5;61450;196,8295
92;502,5;61445;196,8237
93;507,5;61440;196,8537
94;512,5;61435;196,8524
95;517,5;61430;196,8563
96;522,5;61425;196,8511
102;552,5;61395;196,8270
103;557,5;61390;196,8144
104;562,5;61385;196,8219
105;567,5;61380;196,8122
106;572,5;61375;196,8220
107;577,5;61370;196,8313
108;582,5;61365;196,8272
109;587,5;61360;196,8053
110;592,5;61355;196,8058
111;597,5;61350;196,7509
112;602,5;61345;196,7588
113;607,5;61340;196,7559
114;612,5;61335;196,7440
115;617,5;61330;196,7326
116;622,5;61325;196,7303
117;627,5;61320;196,7712
118;632,5;61315;196,7701
119;637,5;61310;196,7516
120;642,5;61305;196,7609
121;647,5;61300;196,7585
122;652,5;61295;196,7669
123;657,5;61290;196,7694
124;662,5;61285;196,7523
125;667,5;61280;196,7656
126;672,5;61275;196,7786
127;677,5;61270;196,7766
128;682,5;61265;196,7702
129;687,5;61260;196,7471
130;692,5;61255;196,7423
131;697,5;61250;196,7471
132;702,5;61245;196,7779
133;707,5;61240;196,8147
134;712,5;61235;196,8506
135;717,5;61230;196,7629
136;722,5;61225;196,7611
137;727,5;61220;196,7581
138;732,5;61215;196,7539
139;737,5;61210;196,7600
140;742,5;61205;196,7522
141;747,5;61200;196,7449
142;752,5;61195;196,7504
143;757,5;61190;196,7593
144;762,5;61185;196,7626
145;767,5;61180;196,7654
146;772,5;61175;196,7718
147;777,5;61170;196,7639
148;782,5;61165;196,7681
149;787,5;61160;196,7648
150;792,5;61155;196,7779
151;797,5;61150;196,7661
152;802,5;61145;196,7602
153;807,5;61140;196,7734
154;812,5;61135;196,7571
155;817,5;61130;196,7720
156;822,5;61125;196,7657
157;827,5;61120;196,7809
158;832,5;61115;196,7712
159;837,5;61110;196,7720
160;842,5;61105;196,7758
161;847,5;61100;196,7722
162;852,5;61095;196,7734
163;857,5;61090;196,7808
164;862,5;61085;196,7660
165;867,5;61080;196,7820
166;872,5;61075;196,7756
