a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100829E+03 -0.249584E+01  0.100422E+02 -0.303181E+01  0.208695E+02  0.334215E-03  0.310909E-03  0.496885E-03  0.578082E-03  0.208271E+03
  0.100829E+03 -0.249584E+01  0.100422E+02 -0.303181E+01  0.208695E+02  0.334215E-03  0.310909E-03  0.496885E-03  0.166743E-02  0.206162E+03
  0.100829E+03 -0.249584E+01  0.586431E+01 -0.303181E+01  0.622773E+01  0.334215E-03  0.310909E-03  0.496885E-03  0.162163E-02  0.211114E+03
  0.100829E+03  0.555481E+01  0.186172E+01 -0.106714E+01  0.962775E+01  0.334215E-03  0.310909E-03  0.496885E-03  0.162163E-02  0.211388E+03
  0.100829E+03  0.555481E+01  0.186172E+01 -0.106714E+01 -0.529737E+01  0.334215E-03  0.310909E-03  0.496885E-03  0.199760E-02  0.211073E+03
  0.100829E+03  0.555481E+01 -0.510823E+01 -0.106714E+01 -0.529737E+01  0.334215E-03  0.310909E-03  0.300061E-03  0.199760E-02  0.211875E+03
  0.100829E+03  0.555481E+01 -0.935127E+00 -0.106714E+01 -0.553371E+00  0.334215E-03  0.310909E-03  0.300061E-03  0.188757E-02  0.212376E+03
  0.100829E+03  0.555481E+01  0.243382E+01  0.448566E+01 -0.553371E+00  0.510571E-03  0.310909E-03  0.300061E-03  0.188757E-02  0.212253E+03
  0.100829E+03  0.555481E+01  0.243382E+01  0.448566E+01 -0.553371E+00  0.510571E-03  0.310909E-03  0.300061E-03  0.188757E-02  0.212253E+03
  0.100829E+03  0.475347E+01  0.517801E+01  0.448566E+01 -0.553371E+00  0.510571E-03  0.310909E-03  0.300061E-03  0.188757E-02  0.212023E+03
  0.100829E+03  0.510192E+01  0.316613E+01  0.448566E+01 -0.553371E+00  0.510571E-03  0.310909E-03  0.300061E-03  0.194676E-02  0.212224E+03
  0.100829E+03  0.510192E+01  0.316613E+01  0.212060E+01 -0.553371E+00  0.510571E-03  0.310909E-03  0.300061E-03  0.194676E-02  0.212057E+03
  0.100829E+03  0.412871E+01  0.316613E+01 -0.502506E+00 -0.631090E+01  0.510571E-03  0.310909E-03  0.300061E-03  0.194676E-02  0.212032E+03
  0.100829E+03  0.412871E+01 -0.945843E+00 -0.502506E+00 -0.110276E+02  0.510571E-03  0.310909E-03  0.300061E-03  0.194676E-02  0.212620E+03
  0.100829E+03 -0.120986E+00 -0.945843E+00 -0.689824E+01 -0.110276E+02  0.510571E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214029E+03
  0.100829E+03  0.118593E+01 -0.528541E+01 -0.241290E+01 -0.902104E+01  0.510571E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214462E+03
  0.100829E+03  0.135709E+00 -0.425078E+01  0.409675E+00 -0.425856E+01  0.510571E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214348E+03
  0.100829E+03  0.135709E+00 -0.425078E+01  0.409675E+00 -0.425856E+01  0.510571E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214348E+03
  0.100455E+03  0.135709E+00 -0.425078E+01 -0.100650E+01  0.406032E+00  0.510571E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214350E+03
  0.100455E+03  0.135709E+00 -0.425078E+01 -0.100650E+01 -0.939435E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.215126E+03
  0.100455E+03  0.135709E+00 -0.884669E+00 -0.100650E+01 -0.939435E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214691E+03
