a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101781E+03   0.536065E-04   0.745989E-04   0.591273E-03   0.144427E-02   0.189989E+03   0.000000E+00   0.000000E+00   0.189989E+03  -0.379978E+03
   0.101781E+03   0.536065E-04   0.745989E-04   0.591273E-03   0.144427E-02   0.189989E+03   0.000000E+00   0.000000E+00   0.189989E+03  -0.379978E+03
   0.101781E+03   0.536065E-04   0.745989E-04   0.591273E-03   0.144427E-02   0.189989E+03   0.000000E+00   0.000000E+00   0.189989E+03  -0.379978E+03
   0.101781E+03   0.536065E-04   0.745989E-04   0.591273E-03   0.144427E-02   0.189989E+03   0.000000E+00   0.000000E+00   0.189989E+03  -0.379978E+03
   0.101781E+03   0.536065E-04   0.745989E-04   0.591273E-03   0.144427E-02   0.189989E+03   0.000000E+00   0.000000E+00   0.189989E+03  -0.379978E+03
   0.101781E+03   0.536065E-04   0.745989E-04   0.519758E-03   0.144427E-02   0.190454E+03   0.000000E+00   0.000000E+00   0.190454E+03  -0.380908E+03
   0.101546E+03   0.536065E-04   0.745989E-04   0.519758E-03   0.144427E-02   0.190788E+03   0.000000E+00   0.000000E+00   0.190788E+03  -0.381576E+03
   0.101546E+03   0.536065E-04   0.745989E-04   0.519758E-03   0.144427E-02   0.190788E+03   0.000000E+00   0.000000E+00   0.190788E+03  -0.381576E+03
   0.101546E+03   0.536065E-04   0.640333E-03   0.519758E-03   0.144427E-02   0.188114E+03   0.000000E+00   0.000000E+00   0.188114E+03  -0.376228E+03
   0.101546E+03   0.582999E-03   0.640333E-03   0.745696E-04   0.144427E-02   0.189189E+03   0.000000E+00   0.000000E+00   0.189189E+03  -0.378378E+03
   0.101546E+03   0.582999E-03   0.111900E-03   0.745696E-04   0.140708E-02   0.191851E+03   0.000000E+00   0.000000E+00   0.191851E+03  -0.383702E+03
