               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.995949E+02   0.102888E-04   0.144233E-04   0.251437E-04   0.626260E-03
Maximum           0.102082E+03   0.162664E-02   0.819420E-03   0.706508E-03   0.263514E-02
Range             0.248710E+01   0.161635E-02   0.804997E-03   0.681364E-03   0.200888E-02
Mean              0.100937E+03   0.411938E-03   0.275321E-03   0.174611E-03   0.134817E-02
Median            0.100958E+03   0.302594E-03   0.238131E-03   0.111699E-03   0.132021E-02
Q10%              0.100288E+03   0.912312E-04   0.317715E-04   0.321875E-04   0.943326E-03
Q25%              0.100562E+03   0.209386E-03   0.130500E-03   0.450812E-04   0.108563E-02
Q75%              0.101273E+03   0.582999E-03   0.417431E-03   0.249983E-03   0.158490E-02
Q90%              0.101597E+03   0.866330E-03   0.565150E-03   0.374176E-03   0.173086E-02
St.Dev.           0.537891E+00   0.319799E-03   0.191398E-03   0.153824E-03   0.360467E-03
Variance          0.289327E+00   0.102271E-06   0.366333E-07   0.236617E-07   0.129937E-06
CV                0.532898E-02   0.776326E+00   0.695181E+00   0.880950E+00   0.267375E+00
Skewness         -0.141613E+00   0.126424E+01   0.594169E+00   0.141332E+01   0.687052E+00
Kurtosis         -0.504665E+00   0.155469E+01  -0.256056E+00   0.139302E+01   0.727717E+00
MaxPost           0.100710E+03   0.107563E-03   0.130500E-03   0.619665E-04   0.122885E-02
