"P0" "P1" "P2" "P3"
1 -1 1 -1
1 -0.989949748743719 0.970000757556627 -0.940453511211521
1 -0.979899497487437 0.940304537764198 -0.882406908408866
1 -0.969849246231156 0.910911340622711 -0.825844964323143
1 -0.959798994974874 0.881821166132169 -0.770752451685462
1 -0.949748743718593 0.853034014292568 -0.71711414322693
1 -0.939698492462312 0.824549885103911 -0.664914811678655
1 -0.92964824120603 0.796368778566198 -0.614139229771747
1 -0.919597989949749 0.768490694679427 -0.564772170237313
1 -0.909547738693467 0.7409156334436 -0.516798405806463
1 -0.899497487437186 0.713643594858716 -0.470202709210302
1 -0.889447236180904 0.686674578924774 -0.424969853179942
1 -0.879396984924623 0.660008585641777 -0.38108461044649
1 -0.869346733668342 0.633645615009722 -0.338531753741054
1 -0.85929648241206 0.607585667028611 -0.297296055794744
1 -0.849246231155779 0.581828741698442 -0.257362289338666
1 -0.839195979899497 0.556374839019216 -0.218715227103929
1 -0.829145728643216 0.531223958990935 -0.181339641821643
1 -0.819095477386935 0.506376101613595 -0.145220306222915
1 -0.809045226130653 0.4818312668872 -0.110341993038854
1 -0.798994974874372 0.457589454811747 -0.0766894750005678
1 -0.78894472361809 0.433650665387238 -0.0442475248391649
1 -0.778894472361809 0.410014898613671 -0.0130009152857544
1 -0.768844221105528 0.386682154491048 0.0170655809285564
1 -0.758793969849246 0.363652433019368 0.045967191072658
1 -0.748743718592965 0.340925734198631 0.0737191424154432
1 -0.738693467336683 0.318502058028838 0.100336662225803
1 -0.728643216080402 0.296381404509987 0.125834977772629
1 -0.718592964824121 0.27456377364208 0.150229316324812
1 -0.708542713567839 0.253049165425116 0.173534905151245
1 -0.698492462311558 0.231837579859094 0.19576697152082
1 -0.688442211055276 0.210929016944016 0.216940742702427
1 -0.678391959798995 0.190323476679882 0.237071445964958
1 -0.668341708542714 0.17002095906669 0.256174308577305
1 -0.658291457286432 0.150021464104442 0.274264557808359
1 -0.648241206030151 0.130324991793137 0.291357420927013
1 -0.638190954773869 0.110931542132774 0.307468125202158
1 -0.628140703517588 0.0918411151233556 0.322611897902685
1 -0.618090452261307 0.0730537107648797 0.336803966297486
1 -0.608040201005025 0.054569329057347 0.350059557655452
1 -0.597989949748744 0.0363879700007577 0.362393899245476
1 -0.587939698492462 0.0185096335951113 0.373822218336449
