               a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.983905E+02  -0.612390E+01  -0.134429E+02  -0.298171E+02   0.126294E-04   0.132941E-04   0.222719E-04   0.378312E-03
Maximum           0.102947E+03   0.778903E+01   0.175299E+02   0.154003E+02   0.137032E-02   0.130326E-02   0.120248E-02   0.284161E-02
Range             0.455650E+01   0.139129E+02   0.309728E+02   0.452174E+02   0.135769E-02   0.128997E-02   0.118021E-02   0.246330E-02
Mean              0.101034E+03   0.479831E+00  -0.471492E+00  -0.510570E+01   0.324607E-03   0.333453E-03   0.301427E-03   0.116032E-02
Median            0.101029E+03   0.544378E+00  -0.629407E+00  -0.539974E+01   0.252821E-03   0.213775E-03   0.296961E-03   0.115949E-02
Q10%              0.100011E+03  -0.311014E+01  -0.705424E+01  -0.137518E+02   0.103809E-03   0.569991E-04   0.851715E-04   0.655362E-03
Q25%              0.100515E+03  -0.169369E+01  -0.384811E+01  -0.102935E+02   0.184347E-03   0.131295E-03   0.136774E-03   0.861921E-03
Q75%              0.101641E+03   0.229885E+01   0.256036E+01   0.202160E-01   0.457324E-03   0.488226E-03   0.346507E-03   0.131193E-02
Q90%              0.102017E+03   0.397460E+01   0.632490E+01   0.383844E+01   0.611090E-03   0.653403E-03   0.591986E-03   0.169104E-02
St.Dev.           0.815935E+00   0.269704E+01   0.523199E+01   0.735583E+01   0.238127E-03   0.259035E-03   0.210464E-03   0.419559E-03
Variance          0.665750E+00   0.727401E+01   0.273737E+02   0.541082E+02   0.567045E-07   0.670990E-07   0.442952E-07   0.176030E-06
CV                0.807584E-02   0.562081E+01   0.110967E+02   0.144071E+01   0.733586E+00   0.776825E+00   0.698226E+00   0.361588E+00
Skewness         -0.209997E+00   0.248733E+00   0.456860E+00   0.487216E-01   0.162862E+01   0.113136E+01   0.166938E+01   0.101761E+01
Kurtosis         -0.269118E+00  -0.285310E+00   0.486012E+00   0.316363E+00   0.415281E+01   0.118626E+01   0.376679E+01   0.152298E+01
MaxPost           0.100850E+03  -0.120671E+00  -0.226078E+01  -0.168892E+01   0.252821E-03   0.103089E-03   0.672200E-04   0.104717E-02
