a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.101889E+03  -0.428466E+01   0.658666E+00  -0.708445E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.239168E-02   0.210049E+03
   0.101889E+03   0.362707E+01  -0.241346E+01   0.551201E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.239168E-02   0.207656E+03
   0.101889E+03   0.362707E+01   0.662248E+01   0.407962E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.229169E-02   0.209563E+03
   0.101889E+03  -0.186797E+01   0.662248E+01  -0.333653E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.124071E-02   0.213387E+03
   0.101889E+03  -0.186797E+01   0.898999E+01  -0.121227E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.124071E-02   0.212678E+03
   0.101889E+03   0.511866E+00   0.898999E+01  -0.344894E+01   0.315526E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.213765E+03
   0.102515E+03   0.511866E+00   0.465128E+01  -0.344894E+01   0.315526E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.212672E+03
   0.100770E+03   0.310944E+01   0.513698E+01  -0.236400E+01   0.315526E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.214018E+03
   0.100770E+03   0.286715E+00   0.516770E+01  -0.236400E+01   0.315526E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.215000E+03
   0.100770E+03   0.286715E+00   0.509561E+01   0.605052E+01   0.338925E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.213905E+03
   0.100770E+03  -0.208720E+01   0.509561E+01   0.459625E+00   0.338925E-03   0.574033E-03   0.309034E-03   0.124071E-02   0.212905E+03
   0.100770E+03   0.150243E+01  -0.656407E+00  -0.498382E-01   0.338925E-03   0.574033E-03   0.305932E-03   0.124071E-02   0.214880E+03
   0.100770E+03   0.632416E+00  -0.681276E+01  -0.939302E+01   0.338925E-03   0.574033E-03   0.305932E-03   0.124071E-02   0.214327E+03
   0.101056E+03   0.632416E+00  -0.591496E+01  -0.131864E+02   0.338925E-03   0.441155E-03   0.305932E-03   0.124071E-02   0.214769E+03
   0.101056E+03   0.632416E+00  -0.931820E+00  -0.122001E+02   0.338925E-03   0.441155E-03   0.305932E-03   0.124071E-02   0.215130E+03
   0.101056E+03   0.632416E+00  -0.388902E+01  -0.122001E+02   0.590356E-03   0.441155E-03   0.305932E-03   0.124071E-02   0.214253E+03
   0.100723E+03   0.632416E+00  -0.299385E+01  -0.382464E+01   0.590356E-03   0.441155E-03   0.305932E-03   0.124071E-02   0.215037E+03
   0.100723E+03   0.199113E+00  -0.299385E+01  -0.382464E+01   0.590356E-03   0.609473E-03   0.305932E-03   0.124071E-02   0.213950E+03
   0.100723E+03   0.199113E+00  -0.924437E+01  -0.122278E+02   0.590356E-03   0.609473E-03   0.305932E-03   0.124071E-02   0.212440E+03
   0.100723E+03   0.141437E+00  -0.924437E+01  -0.118803E+02   0.590356E-03   0.609473E-03   0.305932E-03   0.124071E-02   0.212498E+03
   0.100723E+03   0.306677E+01   0.215247E+01  -0.253194E+00   0.590356E-03   0.103089E-03   0.305932E-03   0.904244E-03   0.216142E+03
   0.100723E+03   0.267604E+01   0.215247E+01  -0.170007E+01   0.590356E-03   0.103089E-03   0.305932E-03   0.980044E-03   0.216177E+03
   0.100850E+03   0.267604E+01   0.205241E+01   0.481496E+01   0.590356E-03   0.103089E-03   0.305932E-03   0.980044E-03   0.216073E+03
   0.100850E+03   0.195367E+01  -0.170693E+01  -0.912321E+01   0.276081E-03   0.103089E-03   0.305932E-03   0.980044E-03   0.217072E+03
   0.100850E+03   0.195367E+01  -0.589001E+00  -0.847284E+01   0.716187E-03   0.103089E-03   0.305932E-03   0.980044E-03   0.215514E+03
   0.100850E+03   0.195367E+01  -0.589001E+00   0.401187E+00   0.716187E-03   0.103089E-03   0.305932E-03   0.714980E-03   0.215584E+03
   0.100850E+03   0.195367E+01   0.224195E+01   0.210318E+00   0.252821E-03   0.103089E-03   0.305932E-03   0.714980E-03   0.217020E+03
   0.100850E+03   0.434852E+01  -0.303849E+01   0.553532E+01   0.252821E-03   0.103089E-03   0.672200E-04   0.714980E-03   0.215808E+03
   0.100850E+03  -0.353271E+00  -0.133751E+01  -0.750140E+01   0.252821E-03   0.103089E-03   0.672200E-04   0.714980E-03   0.218448E+03
   0.100850E+03  -0.120671E+00  -0.226078E+01  -0.168892E+01   0.252821E-03   0.103089E-03   0.672200E-04   0.104717E-02   0.218733E+03
   0.100850E+03  -0.120671E+00  -0.226078E+01  -0.168892E+01   0.252821E-03   0.103089E-03   0.672200E-04   0.104717E-02   0.218733E+03
   0.100546E+03  -0.120671E+00  -0.226078E+01  -0.342114E+01   0.252821E-03   0.103089E-03   0.672200E-04   0.564639E-03   0.217249E+03
   0.100546E+03   0.624689E+00  -0.189720E+01  -0.313990E+01   0.252821E-03   0.103089E-03   0.672200E-04   0.564639E-03   0.217326E+03
   0.100546E+03   0.229885E+01  -0.189720E+01  -0.313990E+01   0.252821E-03   0.103089E-03   0.672200E-04   0.564639E-03   0.216775E+03
   0.100546E+03   0.229885E+01  -0.189720E+01   0.214145E+01   0.252821E-03   0.103089E-03   0.158973E-03   0.564639E-03   0.216435E+03
   0.100546E+03   0.229885E+01  -0.996964E+00  -0.797052E+01   0.252821E-03   0.191117E-03   0.158973E-03   0.564639E-03   0.215630E+03
   0.100546E+03   0.229403E+01  -0.124177E+01   0.273522E+01   0.135772E-03   0.191117E-03   0.158973E-03   0.115949E-02   0.217897E+03
   0.100546E+03   0.229403E+01  -0.124177E+01  -0.266187E+01   0.135772E-03   0.191117E-03   0.158973E-03   0.115949E-02   0.218021E+03
   0.100546E+03   0.118319E+01   0.481475E+01  -0.410662E+01   0.135772E-03   0.191117E-03   0.158973E-03   0.115949E-02   0.216284E+03
   0.100546E+03   0.118319E+01  -0.215606E+01   0.742707E+01   0.135772E-03   0.191117E-03   0.158973E-03   0.115949E-02   0.216537E+03
   0.100546E+03   0.112635E+01  -0.215606E+01  -0.104119E+02   0.229969E-03   0.191117E-03   0.158973E-03   0.115949E-02   0.217122E+03
   0.100546E+03  -0.222021E+01  -0.618139E+01  -0.648227E+01   0.229969E-03   0.191117E-03   0.158973E-03   0.115949E-02   0.216863E+03
   0.100546E+03   0.254825E+01   0.355641E+01  -0.648227E+01   0.229969E-03   0.191117E-03   0.346507E-03   0.115949E-02   0.214963E+03
   0.100546E+03   0.110580E+01   0.355641E+01  -0.625372E+01   0.229969E-03   0.191117E-03   0.346507E-03   0.115949E-02   0.215591E+03
