a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100641E+03   0.230133E+01  -0.378330E+00  -0.338585E+01   0.334471E-03   0.664246E-04   0.268548E-04   0.653336E-03   0.192964E+03   0.000000E+00   0.000000E+00   0.192964E+03  -0.385928E+03
   0.100641E+03  -0.100734E+01  -0.378330E+00  -0.338585E+01   0.334471E-03   0.664246E-04   0.268548E-04   0.489730E-03   0.191131E+03   0.000000E+00   0.000000E+00   0.191131E+03  -0.382262E+03
   0.100641E+03  -0.100734E+01  -0.378330E+00  -0.230068E+01   0.334471E-03   0.664246E-04   0.268548E-04   0.489730E-03   0.191028E+03   0.000000E+00   0.000000E+00   0.191028E+03  -0.382056E+03
   0.100641E+03  -0.100734E+01  -0.378330E+00   0.102008E+01   0.334471E-03   0.664246E-04   0.268548E-04   0.239811E-02   0.189961E+03   0.000000E+00   0.000000E+00   0.189961E+03  -0.379922E+03
   0.100641E+03   0.378762E+01  -0.378330E+00   0.525592E+01   0.645528E-04   0.664246E-04   0.268548E-04   0.239811E-02   0.191068E+03   0.000000E+00   0.000000E+00   0.191068E+03  -0.382136E+03
   0.100641E+03  -0.336435E+01   0.366583E+01  -0.985434E+01   0.645528E-04   0.664246E-04   0.268548E-04   0.703656E-03   0.190992E+03   0.000000E+00   0.000000E+00   0.190992E+03  -0.381984E+03
   0.101647E+03  -0.336435E+01   0.241566E+01  -0.410259E+01   0.645528E-04   0.664246E-04   0.268548E-04   0.125127E-02   0.192108E+03   0.000000E+00   0.000000E+00   0.192108E+03  -0.384216E+03
   0.101647E+03  -0.336435E+01  -0.248995E+01   0.256675E+01   0.645528E-04   0.664246E-04   0.268548E-04   0.125127E-02   0.189022E+03   0.000000E+00   0.000000E+00   0.189022E+03  -0.378044E+03
   0.101647E+03  -0.336435E+01  -0.447147E+01  -0.103654E+02   0.645528E-04   0.664246E-04   0.268548E-04   0.125127E-02   0.191993E+03   0.000000E+00   0.000000E+00   0.191993E+03  -0.383986E+03
   0.101647E+03  -0.336435E+01  -0.447147E+01  -0.118787E+02   0.645528E-04   0.664246E-04   0.268548E-04   0.237704E-02   0.189692E+03   0.000000E+00   0.000000E+00   0.189692E+03  -0.379384E+03
   0.101647E+03  -0.336435E+01   0.384195E+01  -0.118787E+02   0.645528E-04   0.664246E-04   0.268548E-04   0.237704E-02   0.189806E+03   0.000000E+00   0.000000E+00   0.189806E+03  -0.379612E+03
   0.101647E+03  -0.336435E+01  -0.379112E+01  -0.144409E+02   0.645528E-04   0.664246E-04   0.268548E-04   0.237704E-02   0.189895E+03   0.000000E+00   0.000000E+00   0.189895E+03  -0.379790E+03
   0.101647E+03  -0.467107E+01  -0.401555E+00  -0.169309E+02   0.645528E-04   0.664246E-04   0.268548E-04   0.295671E-02   0.187718E+03   0.000000E+00   0.000000E+00   0.187718E+03  -0.375436E+03
   0.101647E+03  -0.467107E+01  -0.401555E+00  -0.134995E+02   0.645528E-04   0.664246E-04   0.268548E-04   0.105934E-02   0.192088E+03   0.000000E+00   0.000000E+00   0.192088E+03  -0.384176E+03
   0.101647E+03   0.197760E+01   0.533896E+01  -0.146769E+02   0.645528E-04   0.664246E-04   0.268548E-04   0.105934E-02   0.189011E+03   0.000000E+00   0.000000E+00   0.189011E+03  -0.378022E+03
   0.101647E+03  -0.679158E+01   0.164128E+01  -0.148147E+02   0.645528E-04   0.664246E-04   0.183740E-03   0.914211E-03   0.189114E+03   0.000000E+00   0.000000E+00   0.189114E+03  -0.378228E+03
   0.101647E+03  -0.679158E+01   0.167202E+01  -0.173370E+02   0.110401E-02   0.664246E-04   0.183740E-03   0.914211E-03   0.186910E+03   0.000000E+00   0.000000E+00   0.186910E+03  -0.373820E+03
   0.101857E+03  -0.679158E+01   0.167202E+01  -0.214727E+02   0.110401E-02   0.664246E-04   0.183740E-03   0.914211E-03   0.186694E+03   0.000000E+00   0.000000E+00   0.186694E+03  -0.373388E+03
   0.101857E+03  -0.676677E+01   0.174741E+01  -0.214727E+02   0.110401E-02   0.664246E-04   0.183740E-03   0.914211E-03   0.186713E+03   0.000000E+00   0.000000E+00   0.186713E+03  -0.373426E+03
   0.101857E+03  -0.706218E+00  -0.236609E+01  -0.154668E+02   0.110401E-02   0.664246E-04   0.183740E-03   0.123464E-02   0.189077E+03   0.000000E+00   0.000000E+00   0.189077E+03  -0.378154E+03
   0.101857E+03   0.372284E+01   0.126148E+01  -0.770672E+01   0.137261E-02   0.664246E-04   0.183740E-03   0.123464E-02   0.186612E+03   0.000000E+00   0.000000E+00   0.186612E+03  -0.373224E+03
   0.101857E+03   0.250193E+01   0.505584E+01   0.946512E+01   0.137261E-02   0.664246E-04   0.183740E-03   0.117972E-02   0.189254E+03   0.000000E+00   0.000000E+00   0.189254E+03  -0.378508E+03
   0.101857E+03   0.654740E+01   0.505584E+01   0.109361E+02   0.137261E-02   0.664246E-04   0.183740E-03   0.117972E-02   0.188898E+03   0.000000E+00   0.000000E+00   0.188898E+03  -0.377796E+03
   0.101857E+03   0.654740E+01   0.505584E+01   0.256610E+02   0.137261E-02   0.664246E-04   0.183740E-03   0.117972E-02   0.185674E+03   0.000000E+00   0.000000E+00   0.185674E+03  -0.371348E+03
   0.101857E+03  -0.378213E+00   0.138927E+01   0.630375E+01   0.137261E-02   0.302398E-05   0.183740E-03   0.117972E-02   0.187902E+03   0.000000E+00   0.000000E+00   0.187902E+03  -0.375804E+03
   0.101857E+03  -0.378213E+00   0.905110E+00  -0.229413E+01   0.137261E-02   0.302398E-05   0.124672E-03   0.117972E-02   0.189251E+03   0.000000E+00   0.000000E+00   0.189251E+03  -0.378502E+03
   0.102135E+03  -0.378213E+00   0.340164E+01   0.305660E+01   0.137261E-02   0.302398E-05   0.124672E-03   0.117972E-02   0.188414E+03   0.000000E+00   0.000000E+00   0.188414E+03  -0.376828E+03
   0.102135E+03   0.134895E+01   0.340164E+01  -0.516198E+01   0.234948E-03   0.302398E-05   0.124672E-03   0.104910E-02   0.192507E+03   0.000000E+00   0.000000E+00   0.192507E+03  -0.385014E+03
   0.102135E+03   0.134895E+01   0.114582E+02   0.265916E+01   0.234948E-03   0.302398E-05   0.274699E-03   0.104910E-02   0.191358E+03   0.000000E+00   0.000000E+00   0.191358E+03  -0.382716E+03
   0.102135E+03   0.134895E+01   0.115782E+02   0.366876E+01   0.234948E-03   0.302398E-05   0.274699E-03   0.104910E-02   0.191249E+03   0.000000E+00   0.000000E+00   0.191249E+03  -0.382498E+03
   0.102135E+03   0.134895E+01   0.115782E+02   0.366876E+01   0.326471E-03   0.302398E-05   0.274699E-03   0.104910E-02   0.191105E+03   0.000000E+00   0.000000E+00   0.191105E+03  -0.382210E+03
   0.102135E+03   0.134895E+01   0.111045E+02   0.514670E+01   0.326471E-03   0.302398E-05   0.274699E-03   0.104910E-02   0.191168E+03   0.000000E+00   0.000000E+00   0.191168E+03  -0.382336E+03
   0.102135E+03   0.134895E+01   0.472972E+01  -0.537769E+01   0.326471E-03   0.139455E-04   0.274699E-03   0.104910E-02   0.192057E+03   0.000000E+00   0.000000E+00   0.192057E+03  -0.384114E+03
   0.102135E+03   0.134895E+01   0.472972E+01  -0.953835E+01   0.326471E-03   0.139455E-04   0.274699E-03   0.104910E-02   0.191316E+03   0.000000E+00   0.000000E+00   0.191316E+03  -0.382632E+03
   0.102135E+03  -0.476281E+01   0.444996E-01  -0.145320E+02   0.326471E-03   0.139455E-04   0.274699E-03   0.104910E-02   0.190551E+03   0.000000E+00   0.000000E+00   0.190551E+03  -0.381102E+03
   0.102135E+03  -0.361187E+01   0.280425E+01  -0.145320E+02   0.326471E-03   0.139455E-04   0.274699E-03   0.270567E-02   0.187891E+03   0.000000E+00   0.000000E+00   0.187891E+03  -0.375782E+03
   0.102135E+03  -0.361187E+01   0.235917E+01  -0.145320E+02   0.326471E-03   0.139455E-04   0.274699E-03   0.293000E-02   0.187425E+03   0.000000E+00   0.000000E+00   0.187425E+03  -0.374850E+03
   0.102135E+03  -0.361187E+01   0.235917E+01  -0.194562E+02   0.326471E-03   0.139455E-04   0.274699E-03   0.293000E-02   0.186768E+03   0.000000E+00   0.000000E+00   0.186768E+03  -0.373536E+03
