IDTRANS;DIST;pk;ALTI_MOY
1;47,5;61900;195,2697
2;52,5;61895;195,2926
3;57,5;61890;195,2636
4;62,5;61885;195,2065
5;67,5;61880;195,2887
6;72,5;61875;195,2838
7;77,5;61870;195,2877
8;82,5;61865;195,2568
9;87,5;61860;195,2611
10;92,5;61855;195,2554
11;97,5;61850;195,2844
12;102,5;61845;195,2625
13;107,5;61840;195,2621
14;112,5;61835;195,2708
15;117,5;61830;195,2392
16;122,5;61825;195,2651
17;127,5;61820;195,2736
18;132,5;61815;195,2640
19;137,5;61810;195,2713
20;142,5;61805;195,2445
21;147,5;61800;195,2501
22;152,5;61795;195,2447
23;157,5;61790;195,2507
24;162,5;61785;195,2207
25;167,5;61780;195,2275
26;172,5;61775;195,1991
27;177,5;61770;195,2417
28;182,5;61765;195,2386
29;187,5;61760;195,2316
30;192,5;61755;195,2454
31;197,5;61750;195,2457
32;202,5;61745;195,2396
33;207,5;61740;195,2403
34;212,5;61735;195,2470
35;217,5;61730;195,2348
36;222,5;61725;195,2504
37;227,5;61720;195,2351
38;232,5;61715;195,2489
39;237,5;61710;195,2737
40;242,5;61705;195,2617
41;247,5;61700;195,2352
42;252,5;61695;195,2593
43;257,5;61690;195,2460
44;262,5;61685;195,2738
45;267,5;61680;195,2582
46;272,5;61675;195,2470
47;277,5;61670;195,2550
48;282,5;61665;195,2592
49;287,5;61660;195,2473
50;292,5;61655;195,2362
51;297,5;61650;195,2450
52;302,5;61645;195,2407
53;307,5;61640;195,2332
54;312,5;61635;195,2425
55;317,5;61630;195,2479
56;322,5;61625;195,2361
57;327,5;61620;195,2366
58;332,5;61615;195,1886
59;337,5;61610;195,1888
60;342,5;61605;195,1954
61;347,5;61600;195,2340
62;352,5;61595;195,2298
63;357,5;61590;195,2420
64;362,5;61585;195,2473
65;367,5;61580;195,2110
66;372,5;61575;195,2245
67;377,5;61570;195,2048
68;382,5;61565;195,2287
69;387,5;61560;195,2254
70;392,5;61555;195,2302
71;397,5;61550;195,2368
72;402,5;61545;195,2323
73;407,5;61540;195,2420
74;412,5;61535;195,2446
75;417,5;61530;195,2315
76;422,5;61525;195,2411
77;427,5;61520;195,2169
78;432,5;61515;195,2151
79;437,5;61510;195,2153
80;442,5;61505;195,1946
81;447,5;61500;195,1754
82;452,5;61495;195,1863
83;457,5;61490;195,1995
84;462,5;61485;195,2035
85;467,5;61480;195,1814
86;472,5;61475;195,1887
87;477,5;61470;195,1925
88;482,5;61465;195,2063
89;487,5;61460;195,2060
90;492,5;61455;195,1725
91;497,5;61450;195,2019
92;502,5;61445;195,1760
93;507,5;61440;195,1760
94;512,5;61435;195,1904
95;517,5;61430;195,1738
96;522,5;61425;195,1899
97;527,5;61420;195,1726
98;532,5;61415;195,1820
99;537,5;61410;195,1812
100;542,5;61405;195,1760
101;547,5;61400;195,1743
102;552,5;61395;195,1587
103;557,5;61390;195,1715
104;562,5;61385;195,1357
105;567,5;61380;195,1650
106;572,5;61375;195,1733
107;577,5;61370;195,1771
108;582,5;61365;195,1470
109;587,5;61360;195,1287
110;592,5;61355;195,1558
111;597,5;61350;195,1407
112;602,5;61345;195,1466
113;607,5;61340;195,1502
114;612,5;61335;195,1217
115;617,5;61330;195,1475
116;622,5;61325;195,1634
117;627,5;61320;195,1433
118;632,5;61315;195,1442
119;637,5;61310;195,1309
120;642,5;61305;195,1453
121;647,5;61300;195,1564
122;652,5;61295;195,1407
123;657,5;61290;195,1489
124;662,5;61285;195,1603
125;667,5;61280;195,1348
126;672,5;61275;195,1331
135;717,5;61230;195,1338
136;722,5;61225;195,1545
137;727,5;61220;195,1454
138;732,5;61215;195,1316
139;737,5;61210;195,1365
140;742,5;61205;195,1326
141;747,5;61200;195,1501
142;752,5;61195;195,1331
143;757,5;61190;195,1545
144;762,5;61185;195,1456
145;767,5;61180;195,1337
146;772,5;61175;195,1417
147;777,5;61170;195,1465
148;782,5;61165;195,1472
149;787,5;61160;195,1495
150;792,5;61155;195,1516
151;797,5;61150;195,1448
152;802,5;61145;195,1425
153;807,5;61140;195,1462
154;812,5;61135;195,1303
155;817,5;61130;195,1374
156;822,5;61125;195,1445
157;827,5;61120;195,1569
158;832,5;61115;195,1513
159;837,5;61110;195,1323
160;842,5;61105;195,1368
161;847,5;61100;195,1334
162;852,5;61095;195,1450
163;857,5;61090;195,1417
164;862,5;61085;195,1191
165;867,5;61080;195,1324
166;872,5;61075;195,1404
167;877,5;61070;195,1348
168;882,5;61065;195,1274
169;887,5;61060;195,1330
170;892,5;61055;195,1531
171;897,5;61050;195,1476
172;902,5;61045;195,1407
173;907,5;61040;195,1410
174;912,5;61035;195,1517
175;917,5;61030;195,1503
176;922,5;61025;195,1509
177;927,5;61020;195,1479
178;932,5;61015;195,1410
179;937,5;61010;195,1349
180;942,5;61005;195,1313
181;947,5;61000;195,1479
182;952,5;60995;195,1329
183;957,5;60990;195,1457
184;962,5;60985;195,1438
185;967,5;60980;195,1319
186;972,5;60975;195,1457
187;977,5;60970;195,1387
188;982,5;60965;195,1394
189;987,5;60960;195,1155
190;992,5;60955;195,1220
191;997,5;60950;195,1285
192;1002,5;60945;195,1312
193;1007,5;60940;195,1132
194;1012,5;60935;195,1328
195;1017,5;60930;195,1369
196;1022,5;60925;195,1220
197;1027,5;60920;195,1316
198;1032,5;60915;195,1354
199;1037,5;60910;195,1326
200;1042,5;60905;195,1376
201;1047,5;60900;195,1374
202;1052,5;60895;195,1420
203;1057,5;60890;195,1553
204;1062,5;60885;195,1387
205;1067,5;60880;195,1491
206;1072,5;60875;195,1442
207;1077,5;60870;195,1274
208;1082,5;60865;195,1338
209;1087,5;60860;195,1203
210;1092,5;60855;195,1290
211;1097,5;60850;195,1255
212;1102,5;60845;195,1273
213;1107,5;60840;195,1251
214;1112,5;60835;195,1255
215;1117,5;60830;195,1275
216;1122,5;60825;195,1400
217;1127,5;60820;195,1241
218;1132,5;60815;195,1180
219;1137,5;60810;195,1170
220;1142,5;60805;195,1099
221;1147,5;60800;195,1153
222;1152,5;60795;195,1340
223;1157,5;60790;195,1322
224;1162,5;60785;195,1348
225;1167,5;60780;195,1177
226;1172,5;60775;195,1009
227;1177,5;60770;195,0992
228;1182,5;60765;195,0926
237;1227,5;60720;195,0981
238;1232,5;60715;195,1010
239;1237,5;60710;195,0988
240;1242,5;60705;195,1012
241;1247,5;60700;195,1047
242;1252,5;60695;195,1065
243;1257,5;60690;195,1066
244;1262,5;60685;195,1024
245;1267,5;60680;195,0951
246;1272,5;60675;195,1047
247;1277,5;60670;195,1161
248;1282,5;60665;195,1204
249;1287,5;60660;195,1116
250;1292,5;60655;195,1213
251;1297,5;60650;195,1114
252;1302,5;60645;195,1152
253;1307,5;60640;195,1182
254;1312,5;60635;195,1180
255;1317,5;60630;195,1170
256;1322,5;60625;195,1189
257;1327,5;60620;195,1167
258;1332,5;60615;195,1203
259;1337,5;60610;195,1229
260;1342,5;60605;195,1268
261;1347,5;60600;195,1121
262;1352,5;60595;195,1106
263;1357,5;60590;195,1174
264;1362,5;60585;195,1104
265;1367,5;60580;195,1152
266;1372,5;60575;195,1079
267;1377,5;60570;195,1083
268;1382,5;60565;195,1148
269;1387,5;60560;195,1123
270;1392,5;60555;195,1018
271;1397,5;60550;195,1104
272;1402,5;60545;195,1055
273;1407,5;60540;195,0891
274;1412,5;60535;195,0779
275;1417,5;60530;195,0883
276;1422,5;60525;195,0950
277;1427,5;60520;195,0942
278;1432,5;60515;195,1032
279;1437,5;60510;195,1023
280;1442,5;60505;195,0930
281;1447,5;60500;195,0892
282;1452,5;60495;195,0761
283;1457,5;60490;195,1002
284;1462,5;60485;195,0895
285;1467,5;60480;195,0931
286;1472,5;60475;195,0868
287;1477,5;60470;195,0990
288;1482,5;60465;195,0903
289;1487,5;60460;195,1027
290;1492,5;60455;195,0902
291;1497,5;60450;195,0876
292;1502,5;60445;195,0980
293;1507,5;60440;195,0885
294;1512,5;60435;195,0769
295;1517,5;60430;195,0776
296;1522,5;60425;195,0785
297;1527,5;60420;195,0765
298;1532,5;60415;195,0834
299;1537,5;60410;195,0717
300;1542,5;60405;195,0715
301;1547,5;60400;195,0771
