Date;Heure;Ain;Lagnieu
26/02/2010;00:00:00;242,281;755,671
26/02/2010;01:00:00;241,48;736,437
26/02/2010;02:00:00;241,283;701,636
26/02/2010;03:00:00;241,345;670,331
26/02/2010;04:00:00;241,198;657,055
26/02/2010;05:00:00;242,673;655,029
26/02/2010;06:00:00;244,782;660,157
26/02/2010;07:00:00;249,353;677,993
26/02/2010;08:00:00;252,96;705,354
26/02/2010;09:00:00;258,407;722,819
26/02/2010;10:00:00;266,146;727,595
26/02/2010;11:00:00;279,175;727,476
26/02/2010;12:00:00;291,691;725,222
26/02/2010;13:00:00;300,509;725
26/02/2010;14:00:00;308,374;730,968
26/02/2010;15:00:00;312,906;769,995
26/02/2010;16:00:00;307,678;801,979
26/02/2010;17:00:00;301,763;844,749
26/02/2010;18:00:00;306,884;905,384
26/02/2010;19:00:00;317,218;952,464
26/02/2010;20:00:00;324,197;970,293
26/02/2010;21:00:00;326,704;957,562
26/02/2010;22:00:00;326,26;931,047
26/02/2010;23:00:00;323,224;920,414
