               a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.994833E+02  -0.438385E+01   0.166136E-05   0.708691E-05   0.279642E-05   0.475762E-03
Maximum           0.101989E+03   0.680404E+01   0.155607E-02   0.732904E-03   0.105498E-02   0.409927E-02
Range             0.250570E+01   0.111879E+02   0.155441E-02   0.725817E-03   0.105218E-02   0.362351E-02
Mean              0.100876E+03   0.156875E+01   0.281252E-03   0.239245E-03   0.231265E-03   0.131669E-02
Median            0.100815E+03   0.150398E+01   0.215753E-03   0.183870E-03   0.199868E-03   0.125785E-02
Q10%              0.999562E+02  -0.503854E+00   0.660806E-04   0.442504E-04   0.633924E-04   0.977204E-03
Q25%              0.100449E+03   0.432949E+00   0.110325E-03   0.969402E-04   0.106064E-03   0.105726E-02
Q75%              0.101328E+03   0.264690E+01   0.356468E-03   0.314289E-03   0.341176E-03   0.150953E-02
Q90%              0.101803E+03   0.365357E+01   0.520436E-03   0.524752E-03   0.425205E-03   0.171078E-02
St.Dev.           0.663194E+00   0.171068E+01   0.245370E-03   0.180549E-03   0.158964E-03   0.432005E-03
Variance          0.439826E+00   0.292641E+01   0.602063E-07   0.325978E-07   0.252696E-07   0.186628E-06
CV                0.657432E-02   0.109047E+01   0.872421E+00   0.754660E+00   0.687369E+00   0.328100E+00
Skewness         -0.362918E-01   0.188600E+00   0.247442E+01   0.888573E+00   0.122311E+01   0.191755E+01
Kurtosis         -0.914488E+00   0.413747E+00   0.933855E+01  -0.193930E+00   0.265190E+01   0.716719E+01
MaxPost           0.101293E+03   0.130959E+01   0.928593E-04   0.778655E-04   0.398508E-04   0.114759E-02
