event	reach	x	t	WSE	Q	V	Kmin	Kflood	Yu_WSE	Yu_Q	Yu_V	Yu_Kmin	Yu_Kflood
1	6	22416.5	259230	210.445	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	22500	259266	210.3875	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	22624.666667	259301	210.3	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	22749.333333	259343	210.17	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	22874	259376	210.0275	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23001.5	259413	209.945	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23129	259441	209.865	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23228	259478	209.765	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23322.5	259498	209.775	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23417	259528	209.7625	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23517.714286	259556	209.6475	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23618.428571	259586	209.6275	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23719.142857	259629	209.375	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23819.857143	259669	208.7975	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	23920.571429	259694	208.48	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	24021.285714	259724	208.365	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	24122	259767	208.0825	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
1	6	24213.5	259794	207.875	-9999	-9999	-9999	-9999	0.025	-9999	-9999	-9999	-9999
