Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.360000E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.330000E+02   0.000000E+00   0.190000E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.150000E+02   0.000000E+00   0.100000E+00   0.100000E-01   0.100000E-01   0.100000E-01   0.100000E-01  -0.447132E+04
   0.388636E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.258839E+00   0.310194E+02  -0.540071E+01   0.190824E+02  -0.282798E-02   0.000000E+00  -0.354316E+01   0.671923E+01   0.125210E+02   0.285341E+01   0.100737E+00   0.989938E-02   0.107623E-01   0.116478E-01   0.953869E-02  -0.345477E+04
   0.388636E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.258839E+00   0.292772E+02  -0.563932E+01   0.190824E+02  -0.282798E-02   0.000000E+00  -0.354316E+01   0.671923E+01   0.118293E+02   0.285341E+01   0.101052E+00   0.914545E-02   0.129977E-01   0.126981E-01   0.105183E-01  -0.342182E+04
   0.388636E+02  -0.113925E+00   0.000000E+00   0.242870E+00   0.258839E+00   0.292772E+02  -0.563932E+01   0.200286E+02  -0.282798E-02   0.000000E+00  -0.354316E+01   0.128200E+02   0.112543E+02   0.285341E+01   0.101756E+00   0.787301E-02   0.135079E-01   0.137345E-01   0.107859E-01  -0.328344E+04
   0.388636E+02  -0.113925E+00   0.000000E+00   0.242870E+00   0.497749E+01   0.292772E+02  -0.563932E+01   0.206982E+02  -0.282798E-02  -0.184954E+01  -0.354316E+01   0.128200E+02   0.112543E+02   0.285341E+01   0.102082E+00   0.787301E-02   0.126724E-01   0.141918E-01   0.113639E-01  -0.314435E+04
   0.412530E+02  -0.113925E+00   0.198432E+01   0.242870E+00   0.497749E+01   0.292772E+02  -0.563932E+01   0.206982E+02  -0.282798E-02  -0.184954E+01   0.548041E+00   0.128200E+02   0.112543E+02   0.285341E+01   0.102082E+00   0.776780E-02   0.133463E-01   0.145620E-01   0.123718E-01  -0.301620E+04
   0.412530E+02  -0.219414E+01   0.198432E+01   0.388835E+01   0.497749E+01   0.292772E+02  -0.689575E+01   0.206982E+02  -0.282798E-02  -0.184954E+01   0.539496E+01   0.128200E+02   0.112543E+02   0.285341E+01   0.102082E+00   0.570475E-02   0.123591E-01   0.150626E-01   0.146022E-01  -0.297445E+04
   0.400696E+02  -0.219414E+01   0.198432E+01   0.388835E+01   0.497749E+01   0.292772E+02  -0.689575E+01   0.208973E+02  -0.282798E-02  -0.366397E+01   0.539496E+01   0.128200E+02   0.112543E+02   0.285341E+01   0.102082E+00   0.563815E-02   0.124707E-01   0.150626E-01   0.153648E-01  -0.288937E+04
   0.400696E+02  -0.219414E+01   0.198432E+01   0.388835E+01   0.497749E+01   0.292772E+02  -0.689575E+01   0.208973E+02  -0.282798E-02  -0.366397E+01   0.539496E+01   0.165392E+02   0.112543E+02   0.285341E+01   0.102082E+00   0.530701E-02   0.111609E-01   0.153233E-01   0.145246E-01  -0.287233E+04
   0.400696E+02  -0.219414E+01   0.291492E+01   0.418752E+01   0.497749E+01   0.298517E+02  -0.689575E+01   0.208973E+02  -0.444690E+01  -0.457041E+01  -0.542325E+01   0.165392E+02   0.112543E+02   0.285341E+01   0.102160E+00   0.565684E-02   0.112305E-01   0.152980E-01   0.136406E-01  -0.233351E+04
   0.400696E+02  -0.219414E+01   0.291492E+01   0.691723E+00   0.497749E+01   0.309784E+02  -0.689575E+01   0.208973E+02  -0.444690E+01  -0.112016E+02  -0.542325E+01   0.142018E+02   0.110264E+02   0.285341E+01   0.102214E+00   0.515313E-02   0.114025E-01   0.156962E-01   0.143287E-01  -0.174864E+04
   0.400696E+02  -0.219414E+01   0.291492E+01   0.691723E+00   0.571999E+01   0.309784E+02  -0.144645E+01   0.208973E+02  -0.444690E+01  -0.112016E+02  -0.871851E+01   0.142018E+02   0.101607E+02   0.285341E+01   0.103274E+00   0.545546E-02   0.128172E-01   0.156607E-01   0.145983E-01  -0.150663E+04
